scene,role,roi,condition,arm,n_rows,n_source,n_output_eval,n_reference,source_MSE_mm2,source_MAE_mm,source_p95_mm,improved_fraction,harmed_fraction,unchanged_band_fraction,benefit_sum_mm2,harm_sum_mm2,accepted_fraction,moved_fraction,move_RMS_mm,lost_source_fraction,E_sym_mm,accuracy_mm,completeness_mm,precision_1mm,recall_1mm,fscore_1mm,p95_mm,status
40,adaptation,scan40_roi0,minus3,B_all,42123,42073,20703,126727,1.4900715014979833,1.0011706538603162,2.2693891236057775,0.49939391058398497,0.39419580253369146,0.10641028688232358,37773.33232951904,37171.64231248268,1.0,0.999643900007122,2.69655889134766,0.00480117890333468,14.503110220491163,1.0022273627211074,28.003993078261217,0.5906390378206057,0.1568805384803554,0.24791262527018984,2.2587638374104415,SCORED
40,adaptation,scan40_roi0,minus3,post_A_keep,42123,42073,20593,126727,0.9731962929132536,0.9139151369519027,1.5614333059238399,0.12005324079575976,0.010267867753666247,0.869678891450574,23170.474264245135,822.2935964234548,0.13365619732687606,0.13360871732782564,1.1155898582324777,0.0025431987260238157,14.592206613599684,0.9073314197480025,28.277081807451367,0.7408828242606711,0.1647715167249284,0.26958715073573625,1.580395865521729,SCORED
40,adaptation,scan40_roi0,minus3,post_AB_keep,42123,42073,20538,126727,0.9744956388669437,0.906979570627744,1.52996165527535,0.14375014855132745,0.028593159508473368,0.8276566919401992,25034.09509240251,2740.581806890431,0.18101749637965006,0.18094627638107447,1.2318205144527634,0.0031374040358424643,14.555955467392653,0.9089146576299167,28.20299627715539,0.7271399357288928,0.16335114064090525,0.2667722138015974,1.5577945216072324,SCORED
40,adaptation,scan40_roi0,minus3,random_A_keep,42123,42073,22902,126727,1.5426095987713127,1.1122143534065407,2.322489752595416,0.06655099469968864,0.05236137190121931,0.881087633399092,4639.473649951577,6248.218999496022,0.13365619732687606,0.13358497732830046,1.0437725797583746,0.002875953699522259,14.567083349382555,1.120200033432311,28.0139666653328,0.6229586935638809,0.1636588887924436,0.25921802369801156,2.347950241887267,SCORED
40,adaptation,scan40_roi0,minus3,A_fit_reserved,42123,42073,20696,126727,1.072843616031562,0.9414896401096472,1.8059617699825399,0.11427756518432249,0.015259192356142894,0.8704632424595347,21212.73778042709,3057.018938161992,,0.13239797735204045,1.2391537292628196,0.0030423311862714806,14.565672209967413,0.935899393203035,28.195445026731793,0.7239563200618477,0.16092861031982134,0.26332301640520384,1.8410979171239004,SCORED
40,adaptation,scan40_roi0,plus3,identity,42123,42073,20274,126727,2.271435375257582,1.3451647496522534,2.421547784982136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.019513702374444417,15.14617899713522,1.3609011594769111,28.93145683479353,0.19877675840978593,0.03458615764596337,0.0589204524773083,2.4421986095104433,SCORED
40,adaptation,scan40_roi0,plus3,A_all,42123,42073,21314,126727,2.9104552556844285,1.3255474129856022,2.9395485107611004,0.4821381883868514,0.4382858365222352,0.07957597509091341,44989.391435951584,71874.87486515028,1.0,0.9995489400090212,2.8866543149485673,0.01540180163049937,14.836337446034504,1.2777497204015884,28.39492517166742,0.48034155953833163,0.1367664349349389,0.21291120269870956,2.8518023616765285,SCORED
40,adaptation,scan40_roi0,plus3,B_all,42123,42073,20986,126727,2.0240026654161976,1.1197492663662287,2.571588063510615,0.563948375442683,0.3553585434839446,0.08069308107337247,53477.93391153462,43067.697510378064,1.0,0.9993590200128196,2.7842800668771566,0.005989589522971977,14.714400113459908,1.1057593447507037,28.32304088216911,0.5585152006099304,0.15222486131605736,0.23924330007616787,2.540334276176179,SCORED
40,adaptation,scan40_roi0,plus3,post_A_keep,42123,42073,20462,126727,1.755084468078377,1.1389336377224237,2.1149394870590235,0.12970313502721462,0.0031374040358424643,0.867159460936943,22046.633789083873,322.2020713331926,0.13470075730598485,0.13462953730740926,0.9758012972860277,0.019299788462909705,14.966982869974064,1.1309261252580416,28.803039614690086,0.33593979083178577,0.08553031319292653,0.1363467313549914,2.1371650901351025,SCORED
40,adaptation,scan40_roi0,plus3,post_AB_keep,42123,42073,20559,126727,1.585457983046971,1.0870134868636059,1.8847078663807824,0.17997290423787227,0.009744967081025836,0.8102821286811019,29980.123404885675,1118.9965824086369,0.19519027609619446,0.1950953160980937,1.1788717612779565,0.01604354336510351,14.900404166976951,1.077501756856956,28.723306577096945,0.36864633493846977,0.09694066773457906,0.15351297034353067,1.8471743270121292,SCORED
