phase,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
development,s9161111_g8_n2_l0,9161111,8.0,2.0,old_constant64,OK,6.5688824339958956,0.0,C,0.18430544167732077,1.1178803696917772,0.33013877501065414,0.367526609558854,0.984375,2,0.0884825522508604,0.10139343024707718,,0.020833333333333332,0.015625,0.018229166666666664,8.369804308221491,8.36979120254142,8.064655192817582,0.0007310541543376919,0.36980430822149124,8.06538624697192,0.06538624697192041,0.008173280871490052,0.0,0.018229166666666664,8.37053536237583,0.03711381572789992,1.2770191903788055,-0.06447648516448057,1.2496565209422246,2.220446049250313e-16
development,s9161111_g8_n2_l0,9161111,8.0,2.0,old_spatial36,OK,6.5688824339958956,0.0,R,0.1830989683668823,1.118387839688939,0.3289323017002156,0.3426056759788309,0.9856770833333334,2,0.09533659127857437,0.10924755387422419,,0.018229166666666668,0.018229166666666668,0.018229166666666668,8.371975296134451,8.371960077489353,8.06674703012955,-0.004029728354415904,0.3719752961344511,8.062717301775134,0.0627173017751339,0.007839662721891738,0.0,0.018229166666666668,8.367945567780035,0.03719385791755488,1.2776817513374972,-0.06408424929095967,1.250791359964092,2.3592239273284576e-16
development,s9161111_g8_n2_l0,9161111,8.0,2.0,rbf_only,OK,6.5688824339958956,0.0,R,0.18309891587781024,1.118387832482384,0.3289322492111435,0.3426059083468067,0.9856770833333334,2,0.09533543331187029,0.10924622694694915,,0.018229166666666668,0.018229166666666668,0.018229166666666668,8.371975146962907,8.371959928687772,8.066746886396551,-0.004029706421754734,0.3719751469629067,8.062717179974795,0.0627171799747952,0.0078396474968494,1.7763568394002505e-15,0.018229166666666668,8.367945440541153,0.03719377023876302,1.2776817058061252,-0.06408413220024321,1.250791343844645,1.3877787807814457e-17
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,adaptive_bic,OK,7.035194664997107,0.5,L,0.10714354999457333,0.9769912816184564,0.22169814502901647,0.27310587996837116,0.9869791666666666,2,0.07265116350521018,0.0832520423219377,,0.015625,0.013020833333333334,0.014322916666666668,8.255660415621373,8.25565170064375,8.019170143298885,-0.04085937600042983,0.25566041562137265,7.978310767298457,0.02168923270154277,0.0027111540876928464,2.6645352591003757e-15,0.014322916666666668,8.214801039620944,0.01553279100346693,0.9761916899461385,-0.037212516591131374,0.954511964358474,7.632783294297951e-17
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,adaptive_cv,OK,7.035194664997107,0.5,L,0.10714354999457333,0.9769912816184564,0.22169814502901647,0.27310587996837116,0.9869791666666666,2,0.07265116350521018,0.0832520423219377,,0.015625,0.013020833333333334,0.014322916666666668,8.255660415621373,8.25565170064375,8.019170143298885,-0.04085937600042983,0.25566041562137265,7.978310767298457,0.02168923270154277,0.0027111540876928464,2.6645352591003757e-15,0.014322916666666668,8.214801039620944,0.01553279100346693,0.9761916899461385,-0.037212516591131374,0.954511964358474,7.632783294297951e-17
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,constant_only,OK,7.035194664997107,0.5,C,0.1601836032577901,1.1598154364095772,0.3223642207119871,0.3516131160966469,0.9817708333333334,2,0.2356755793366362,0.2700623206088834,,0.015625,0.026041666666666668,0.020833333333333336,8.074163162306595,8.074073471186605,7.737739697210487,0.13901279458518118,0.07416316230659525,7.87675249179567,0.12324750820433028,0.015405938525541285,1.7763568394002505e-15,0.020833333333333336,8.213175956891776,0.033875365861559814,1.3581689744072676,-0.046872493734889616,1.3451718465339377,4.85722573273506e-17
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,linear_only,OK,7.035194664997107,0.5,L,0.10714354999457333,0.9769912816184564,0.22169814502901647,0.27310587996837116,0.9869791666666666,2,0.07265116350521018,0.0832520423219377,,0.015625,0.013020833333333334,0.014322916666666668,8.255660415621373,8.25565170064375,8.019170143298885,-0.04085937600042983,0.25566041562137265,7.978310767298457,0.02168923270154277,0.0027111540876928464,2.6645352591003757e-15,0.014322916666666668,8.214801039620944,0.01553279100346693,0.9761916899461385,-0.037212516591131374,0.954511964358474,7.632783294297951e-17
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,old_constant64,OK,7.035194664997107,0.5,C,0.16018360802495998,1.159815434221595,0.3223642245961974,0.3516131220501462,0.9817708333333334,2,0.2356755982804554,0.2700623423164188,,0.015625,0.026041666666666668,0.020833333333333336,8.07416313912161,8.074073447987459,7.737739674991544,0.13901280530082544,0.07416313912161066,7.87675248029237,0.12324751970762993,0.01540593996345374,8.881784197001252e-16,0.020833333333333336,8.213175944422437,0.03387536792844022,1.358168966607295,-0.04687249307710872,1.3451718414586267,2.220446049250313e-16
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,old_spatial36,OK,7.035194664997107,0.5,R,0.10830758803147944,1.0210493115692252,0.23326986467660865,0.29770200880177305,0.9869791666666666,2,0.07553251786933722,0.08655382395776026,,0.018229166666666668,0.013020833333333334,0.015625,8.260352470250753,8.260343044938312,8.002216455555416,-0.04364916554223769,0.26035247025075314,7.958567290013178,0.04143270998682169,0.0051790887483527115,0.0,0.015625,8.216703304708515,0.016171843929598324,1.0661472333246518,-0.039777380598261726,1.0425416966559886,2.0122792321330962e-16
development,s9161111_g8_n2_l0.5,9161111,8.0,2.0,rbf_only,OK,7.035194664997107,0.5,R,0.10830754521470187,1.0210493372018359,0.23326982856833828,0.29770200678571235,0.9869791666666666,2,0.07553200728905984,0.08655323887719552,,0.018229166666666668,0.013020833333333334,0.015625,8.260352485230193,8.260343060045159,8.002216470066749,-0.04364909678610404,0.26035248523019305,7.958567373280646,0.041432626719354104,0.005179078339919263,8.881784197001252e-16,0.015625,8.216703388444088,0.016171820447385958,1.066147237191385,-0.03977730863846299,1.0425417490003082,2.498001805406602e-16
