status,n_output_raw,n_output_roi,n_output_eval,n_laser_eval,accuracy_mm,completeness_mm,accuracy_p95_mm,completeness_p95_mm,precision_1mm,recall_1mm,fscore_1mm,E_sym_mm,coverage_laser_points,voxel_mm,arm,roi_id,seconds,ply_sha256,kind,scene_id
SCORED,42059,29520,13525,44150,0.5353587494794926,1.4917710119152696,2.014868390882334,5.002939848304556,0.8996672828096118,0.5814722536806342,0.7063906534257619,1.0135648806973812,44150,0.8,v25_gated_move,scan24_turret_join,0.2199023080029292,6d5aabd2644c3854e777f8184a31df875efa4f021ca919564f7bba769c7a98d6,structure,24
SCORED,15883,15878,15790,33120,0.39449233968445235,4.594302855898331,0.8416668007958428,26.645137285147904,0.9637745408486383,0.6934178743961352,0.806543027067456,2.4943975977913917,33120,0.8,identity,scan24_wall_control,0.27832076200138545,a91089e0fb59414c0356ccf324c7ea1dcaa727f19e5ef9e88141355f5004e824,control,24
SCORED,11377,9585,9196,33120,2.1659988495330778,2.4282010486900525,8.417118617568452,6.817159006875593,0.5376250543714659,0.2842089371980676,0.37184600997618816,2.297099949111565,33120,0.8,fusion_wta,scan24_wall_control,0.21495532900007674,f242ddc24e1b1558fbe7e14383ac1190c0ab66a5f5584949b707f24e7ebd43ce,control,24
SCORED,4480,4153,3722,33120,1.1030761035964778,30.454482119737982,3.5559201850231243,86.88931577047434,0.7178936055883933,0.14528985507246378,0.24166973225722274,15.77877911166723,33120,0.8,restricted_single,scan24_wall_control,0.37336495599447517,3dd8d3c04f0ba60671c9937e6923f61d16610731e90366277fcc643ca2a8d7f5,control,24
SCORED,15883,15848,4565,33120,0.6506388667638359,5.122485752391217,1.580882702510757,25.050348175847148,0.8547645125958379,0.2767814009661836,0.418158762197652,2.8865623095775264,33120,0.8,restricted_point_move,scan24_wall_control,0.2111238619982032,5fc37de3b6a23142acf184b2d2971427767f31cbbde66c77288836f8b4112299,control,24
SCORED,21597,20297,18582,33120,2.097583886809894,3.5815269759657022,5.9203011905175735,18.19867896056844,0.46496609622215046,0.46518719806763287,0.4650766208664135,2.839555431387798,33120,0.8,v25_atlas,scan24_wall_control,0.2620523619989399,2e99a7a8436557011c471b98c609a72a4f92b8a8b93b4ebeaca5b49abb83191a,control,24
SCORED,16253,14522,14015,33120,1.577577927821358,2.8255947601788574,5.150506192547237,10.043716291526708,0.537638244737781,0.3671195652173913,0.4363101737959133,2.2015863440001078,33120,0.8,v25_wta_atlas,scan24_wall_control,0.22559751399967354,71ac59548f68159cd2e2e9e2f6f302490fd414b6fa8a2d061096955a5a01b3b2,control,24
SCORED,7786,7557,6868,33120,1.1584162727362128,4.881251275880415,3.952866452177254,16.169158980740637,0.6220151426907397,0.24788647342995168,0.3544978817932055,3.019833774308314,33120,0.8,v25_depth_cc,scan24_wall_control,0.20963347100041574,7db8d7ca2eb85602bff8f1b90576ecb919f214ec84eaa8660588ca874e55537a,control,24
SCORED,15883,15858,14520,33120,0.4165174202112455,4.4187952092739735,0.9667812693037738,25.19518597099913,0.9523415977961432,0.6665157004830918,0.7841958989578535,2.4176563147426093,33120,0.8,v25_gated_move,scan24_wall_control,0.23927619199821493,4fcc82b0a191161f400b9e68cc80720bfce000cafa35df8924490d6efdda95a7,control,24
SCORED,111346,104277,86133,183743,0.6914068548390961,8.263307430865916,2.099819455793908,56.08095361530324,0.8627587568063344,0.6559052589758522,0.7452445042958141,4.477357142852506,183743,0.8,identity,scan37_scissor_cross,1.9895859320022282,76eeb3586e8bf7920f7339b2c09df3f994bbc5fea5a34d4e0d31124b508ff6b5,structure,37
SCORED,28368,26288,26288,183743,2.5829255223202194,5.685768230668315,8.545211447500495,17.656114866238998,0.47858338405356055,0.12602384852756296,0.19951107644641644,4.134346876494267,183743,0.8,fusion_wta,scan37_scissor_cross,0.6956961739997496,df50c29484eb00efd2a2f51a53f53372a04942a37272dcd72c4e4fafd049faaa,structure,37
SCORED,25915,25285,25136,183743,1.4372995094860397,21.609493176440534,5.155683776476634,64.49601023273107,0.8286919159770847,0.20965152413969512,0.33464173127014757,11.523396342963286,183743,0.8,restricted_single,scan37_scissor_cross,1.5660572319975472,7b68fc3ae5ed3fd0683fd736d9a1dad3e983e398fb7d84915d1a17fed3d68309,structure,37
SCORED,111346,102979,30607,183743,0.8417870980060237,8.791824637018246,2.270251166985879,52.78956369867019,0.756820335217434,0.2287706198331365,0.3513389734408243,4.816805867512135,183743,0.8,restricted_point_move,scan37_scissor_cross,0.9963654379971558,26b99662bd6c7000a5edb8824462e3ec978041446e6d07646827cb9df64965f5,structure,37
SCORED,56221,53317,51580,183743,2.8482491597405217,14.40512511794695,10.750945759519153,57.908018048887186,0.5517836370686312,0.28050592403520136,0.3719344473770977,8.626687138843735,183743,0.8,v25_atlas,scan37_scissor_cross,1.4504967910033884,5639bcfc18f3a3e530cd2be71e7957af7f0fb63a895aeb37f42cde0bd6ad5ae4,structure,37
SCORED,47515,46123,46067,183743,2.1672086379747015,15.509377760886583,6.393832185670256,62.39598073959924,0.5918987561595068,0.257277828271009,0.358659033546373,8.838293199430643,183743,0.8,v25_wta_atlas,scan37_scissor_cross,1.323055677996308,61d0a6bb21ef1308579aae6e87241724e16041b58c514f3ced74c7f85d38385c,structure,37
