case,phase,method,status,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,displacement_rms_mm
s37_confirm09,confirmation,identity,OK,937,3341,0.8236807206909328,2.396901167672118,0.8083856269073222,0.7748132337246532,0.7210416043100868,0.7469609521997422,0.0
s37_confirm09,confirmation,v18,OK,937,3341,0.8932726891207693,2.5886249720020276,0.9784662451029533,0.7299893276414088,0.47500748278958393,0.5755208478305993,0.8582046744986224
s37_confirm09,confirmation,apss2,OK,937,3341,0.8221698513089157,2.3851364641225343,0.8111435565880485,0.7726787620064034,0.7207422927267285,0.7458074341522679,0.06013146425267549
s37_confirm09,confirmation,rimls2,OK,937,3341,0.8234822300234997,2.376677251856046,0.8101076146401778,0.768409818569904,0.723436096976953,0.7452450608093916,0.05514763275580142
s37_confirm09,confirmation,local_plane64,OK,937,3341,0.8236661945444379,2.378364745172938,0.8822489563045107,0.7812166488794023,0.645315773720443,0.7067928050259484,0.28123991641925583
s37_confirm09,confirmation,quadratic64,OK,937,3341,0.8174223901741621,2.3867163731327876,0.8147022055859036,0.7726787620064034,0.723436096976953,0.7472470505142077,0.142019463474105
s37_confirm09,confirmation,multiscale_full,OK,937,3341,0.821367107361412,2.364716754509228,0.8236799974827893,0.7652081109925294,0.7117629452259803,0.7375185539320062,0.12906824288242152
s37_confirm09,confirmation,multiscale_consensus,OK,937,3341,0.8203919119665459,2.4099993019148314,0.8200749310532768,0.767342582710779,0.7162526189763544,0.7409179187067493,0.08689053416915704
s37_confirm09,confirmation,multiscale_matched,OK,937,3341,0.8219471222616928,2.3653034824585517,0.8206054257579055,0.767342582710779,0.7138581263094882,0.7396347233640232,0.08689053416915735
s37_confirm10,confirmation,identity,OK,670,3414,0.22464014650233358,0.38181528663455233,0.4442907273957398,1.0,0.9964850615114236,0.9982394366197184,0.0
s37_confirm10,confirmation,v18,OK,670,3414,0.21370061782998845,0.35937312728644605,0.43510715461521576,1.0,0.9967779730521382,0.998386386973742,0.16604079849182232
