phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,bias,retain,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
bridge,bridge,s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,v17_map,OK,1.8031536970011075,0,0.25,,True,0.05594925634820986,0.06736214817128816,0.10804384667525638,0.9953271028037384,2,0.0,2.047424443692015,0.04742444369201504,2.0692031513587037,0.0692031513587037
bridge,bridge,s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,identity,OK,4.114236273999268,0,1.0,,True,0.3892136740185989,0.3897442211253649,0.4867265638141622,0.9674479166666666,,,1.9491935577611175,0.05080644223888253,,
bridge,bridge,s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,old_spatial36,OK,4.114241515999311,0,1.0,,True,0.03732397749893412,0.0407716408043582,0.10271664790564065,0.9986979166666666,2,0.0,1.9490825277936024,0.05091747220639764,1.9908746586668402,0.009125341333159787
bridge,bridge,s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,retained_half,OK,4.1142444599972805,0,1.0,L,True,0.038618241412605774,0.041936640908971694,0.10169418940646167,0.9986979166666666,2,0.002353510501336309,1.9456190813010164,0.05438091869898365,1.987871950349762,0.01212804965023806
bridge,bridge,s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,retained_map,OK,4.114243459996942,0,1.0,L,True,0.036688176840483026,0.039947326777579104,0.10246533116691253,0.9986979166666666,2,0.0,1.9502405301655799,0.049759469834420145,1.987871950349762,0.01212804965023806
bridge,bridge,s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,retained_mean,OK,4.114245446995483,0,1.0,L,True,0.04074270290809205,0.0440914725981727,0.10455683524141453,0.9986979166666666,2,0.004707021002672612,1.9409976324364528,0.05900236756354715,1.987871950349762,0.01212804965023806
bridge,bridge,s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,v17_map,OK,4.1142426209989935,0,1.0,,True,0.036688176840483026,0.039947326777579104,0.10246533116691253,0.9986979166666666,2,0.0,1.9502405301655799,0.049759469834420145,1.987871950349762,0.01212804965023806
bridge,bridge,s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,identity,OK,1.85221946999809,4,0.25,,True,3.2403059819241906,3.2628336330462133,3.9584333794164217,0.15654205607476634,,,1.7720099982637063,0.2279900017362937,,
bridge,bridge,s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,old_spatial36,OK,1.8522246239954256,4,0.25,,True,0.09947317484219267,0.15464075940759384,0.505462745490522,0.9906542056074766,2,0.0,2.07492356130328,0.07492356130327993,2.0759996452202105,0.07599964522021052
bridge,bridge,s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,retained_half,OK,1.8522269679961028,4,0.25,L,True,0.09907836975619241,0.1531554254809364,0.50543090537706,0.9906542056074766,2,0.0019958506732572177,2.0697378389379106,0.06973783893791063,2.067261064472199,0.06726106447219893
