phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm,bias,retain
development,statistical,s9171141_g8_n1_l0,9171141,8.0,1.0,retained_mean,OK,0.052425613001105376,0.0,C,True,0.05499786037394785,0.05499786037394784,0.06738128753423375,1.0,2,1.2172780866697397e-06,7.9562216387664355,0.04377836123356449,7.951424966030262,0.048575033969737724,,
development,statistical,s9171141_g8_n1_l0,9171141,8.0,1.0,v17_map,OK,0.052424023997446056,0.0,,True,0.054997578785273116,0.054997578785273116,0.06738084925075122,1.0,2,0.0,7.956224073325584,0.04377592667441643,7.951424966030262,0.048575033969737724,,
development,statistical,s9171141_g8_n1_l0.5,9171141,8.0,1.0,identity,OK,0.049651195004116744,0.5,,True,0.7432967982006758,0.743296798200676,0.9336695912327457,0.74609375,,,7.986650055632321,0.013349944367679,,,,
development,statistical,s9171141_g8_n1_l0.5,9171141,8.0,1.0,old_spatial36,OK,0.049655435999738984,0.5,,True,0.05229577971998401,0.052295779719984004,0.06409029304958798,1.0,2,0.0,7.986649825519131,0.013350174480868837,8.02744898881702,0.027448988817020847,,
development,statistical,s9171141_g8_n1_l0.5,9171141,8.0,1.0,retained_half,OK,0.04965744400396943,0.5,L,True,0.05229601616728272,0.052296016167282716,0.06409042936518192,1.0,2,2.2772303582366352e-07,7.986649333402287,0.013350666597713001,8.027448901489874,0.027448901489874444,,
development,statistical,s9171141_g8_n1_l0.5,9171141,8.0,1.0,retained_map,OK,0.04965689500386361,0.5,L,True,0.05229579666763098,0.05229579666763098,0.06409029795518953,1.0,2,0.0,7.986649788848991,0.01335021115100865,8.027448901489874,0.027448901489874444,,
development,statistical,s9171141_g8_n1_l0.5,9171141,8.0,1.0,retained_mean,OK,0.04965791500580963,0.5,L,True,0.0522962356669345,0.0522962356669345,0.06409056111832381,1.0,2,4.554460716417374e-07,7.986648877955582,0.01335112204441824,8.027448901489874,0.027448901489874444,,
development,statistical,s9171141_g8_n1_l0.5,9171141,8.0,1.0,v17_map,OK,0.049656319002679083,0.5,,True,0.05229579666763098,0.05229579666763098,0.06409029795518953,1.0,2,0.0,7.986649788848991,0.01335021115100865,8.027448901489874,0.027448901489874444,,
development,statistical,s9171141_g8_n1_l1,9171141,8.0,1.0,identity,OK,0.05095696799980942,1.0,,True,0.7432967982006761,0.7432967982006762,0.9336695912327457,0.7604166666666666,,,7.930146886204369,0.06985311379563086,,,,
development,statistical,s9171141_g8_n1_l1,9171141,8.0,1.0,old_spatial36,OK,0.0509605460028979,1.0,,True,0.05171514359849114,0.05171514359849114,0.06300137839058408,1.0,2,0.0,7.930146824554245,0.06985317544575498,8.016823314786935,0.016823314786934773,,
development,statistical,s9171141_g8_n1_l1,9171141,8.0,1.0,retained_half,OK,0.05096229600167135,1.0,L,True,0.0517150482823272,0.05171504828232721,0.06300127136092663,1.0,2,5.83161726319039e-08,7.930146770600942,0.06985322939905814,8.016823564495995,0.016823564495995313,,
development,statistical,s9171141_g8_n1_l1,9171141,8.0,1.0,retained_map,OK,0.05096179099928122,1.0,L,True,0.05171510485653567,0.05171510485653567,0.06300133542914406,1.0,2,0.0,7.930146887233457,0.06985311276654294,8.016823564495995,0.016823564495995313,,
development,statistical,s9171141_g8_n1_l1,9171141,8.0,1.0,retained_mean,OK,0.05096280400175601,1.0,L,True,0.051714991708118795,0.051714991708118795,0.06300120732958878,1.0,2,1.1663234526150557e-07,7.9301466539684276,0.06985334603157245,8.016823564495995,0.016823564495995313,,
development,statistical,s9171141_g8_n1_l1,9171141,8.0,1.0,v17_map,OK,0.050961250002728775,1.0,,True,0.05171510485653567,0.05171510485653567,0.06300133542914406,1.0,2,0.0,7.930146887233457,0.06985311276654294,8.016823564495995,0.016823564495995313,,
development,statistical,s9171141_g8_n2_l0,9171141,8.0,2.0,identity,OK,0.0507358410031884,0.0,,True,1.4648467231062579,1.486593596401352,1.8673391824654915,0.4153645833333333,,,7.912449733109233,0.08755026689076661,,,,
development,statistical,s9171141_g8_n2_l0,9171141,8.0,2.0,old_spatial36,OK,0.050739160004013684,0.0,,True,0.10269817800460983,0.24580336062339606,1.0797051578693901,0.9830729166666666,2,0.0,7.602005780590503,0.3979942194094974,7.886467941119751,0.11353205888024931,,
development,statistical,s9171141_g8_n2_l0,9171141,8.0,2.0,retained_half,OK,0.05074092300492339,0.0,C,True,0.17035499086148842,0.2744898697161433,0.9581262864502857,0.97265625,2,0.07433919019468709,7.532430211300866,0.4675697886991337,7.882672543860097,0.11732745613990314,,
development,statistical,s9171141_g8_n2_l0,9171141,8.0,2.0,retained_map,OK,0.05074042599881068,0.0,C,True,0.10895104666669764,0.2522897010373498,1.0824585162111595,0.9830729166666666,2,0.0,7.600619844664937,0.3993801553350629,7.882672543860097,0.11732745613990314,,
development,statistical,s9171141_g8_n2_l0,9171141,8.0,2.0,retained_mean,OK,0.05074140799843008,0.0,C,True,0.24170160994458476,0.30559198749719085,0.8880901927896119,0.9479166666666666,2,0.14867838038937423,7.464240577936795,0.5357594220632054,7.882672543860097,0.11732745613990314,,
development,statistical,s9171141_g8_n2_l0,9171141,8.0,2.0,v17_map,OK,0.05073987500509247,0.0,,True,0.10895104666669764,0.2522897010373498,1.0824585162111595,0.9830729166666666,2,0.0,7.600619844664937,0.3993801553350629,7.882672543860097,0.11732745613990314,,
development,statistical,s9171141_g8_n2_l0.5,9171141,8.0,2.0,identity,OK,0.049012951996701304,0.5,,True,1.4669086991276707,1.486593596401352,1.8673391824654915,0.4166666666666667,,,7.973300111264645,0.026699888735355337,,,,
development,statistical,s9171141_g8_n2_l0.5,9171141,8.0,2.0,old_spatial36,OK,0.04901710800186265,0.5,,True,0.09124054325420738,0.19464204894414022,0.9237339537896694,0.9869791666666666,2,0.0,7.729585082380133,0.2704149176198669,8.024075378632398,0.02407537863239817,,
development,statistical,s9171141_g8_n2_l0.5,9171141,8.0,2.0,retained_half,OK,0.049019202997442335,0.5,L,True,0.14385478068124247,0.2108769159365235,0.7863543464313706,0.9713541666666666,2,0.0730988296659013,7.661272058763377,0.3387279412366233,8.020946761602868,0.020946761602868236,,
development,statistical,s9171141_g8_n2_l0.5,9171141,8.0,2.0,retained_map,OK,0.049018573998182546,0.5,L,True,0.08542704867674807,0.17843937387861272,0.8744550944034576,0.98828125,2,0.0,7.752929926891232,0.24707007310876783,8.020946761602868,0.020946761602868236,,
development,statistical,s9171141_g8_n2_l0.5,9171141,8.0,2.0,retained_mean,OK,0.04901978500129189,0.5,L,True,0.21386257950457868,0.25367156052443246,0.7865680414605799,0.9544270833333334,2,0.1461976593318026,7.569614190635522,0.4303858093644779,8.020946761602868,0.020946761602868236,,
development,statistical,s9171141_g8_n2_l0.5,9171141,8.0,2.0,v17_map,OK,0.049017905999789946,0.5,,True,0.08542704867674807,0.17843937387861272,0.8744550944034576,0.98828125,2,0.0,7.752929926891232,0.24707007310876783,8.020946761602868,0.020946761602868236,,
development,statistical,s9171141_g8_n2_l1,9171141,8.0,2.0,identity,OK,0.050000855000689626,1.0,,True,1.4566086354698093,1.4865935964013524,1.8673391824654915,0.4296875,,,7.86029377240874,0.13970622759125995,,,,
development,statistical,s9171141_g8_n2_l1,9171141,8.0,2.0,old_spatial36,OK,0.0500043200008804,1.0,,True,0.11799119654698113,0.12802850175675728,0.3173493326459685,0.9986979166666666,2,0.0,7.8406582784798085,0.15934172152019155,8.029106272984787,0.029106272984787296,,
development,statistical,s9171141_g8_n2_l1,9171141,8.0,2.0,retained_half,OK,0.050006204000965226,1.0,L,True,0.12378060078836255,0.13274886742438588,0.31433090813785336,0.9986979166666666,2,0.008592166903321775,7.82712117720669,0.1728788227933098,8.028903484575784,0.028903484575783622,,
development,statistical,s9171141_g8_n2_l1,9171141,8.0,2.0,retained_map,OK,0.0500056559976656,1.0,L,True,0.1179391652351508,0.12797408364520285,0.3172664566445798,0.9986979166666666,2,0.0,7.8421723180873375,0.1578276819126625,8.028903484575784,0.028903484575783622,,
development,statistical,s9171141_g8_n2_l1,9171141,8.0,2.0,retained_mean,OK,0.05000677199859638,1.0,L,True,0.13134186566494196,0.13924348052693655,0.33537480140260084,0.99609375,2,0.01718433380664355,7.812070036326042,0.18792996367395798,8.028903484575784,0.028903484575783622,,
development,statistical,s9171141_g8_n2_l1,9171141,8.0,2.0,v17_map,OK,0.050005123994196765,1.0,,True,0.1179391652351508,0.12797408364520285,0.3172664566445798,0.9986979166666666,2,0.0,7.8421723180873375,0.1578276819126625,8.028903484575784,0.028903484575783622,,
development,statistical,s9171151_g0_n1_l0,9171151,0.0,1.0,identity,OK,0.044506823003757745,0.0,,False,0.7785892302727925,0.7785892302727925,0.9722367635515958,0.7161458333333334,,,,,,,,
development,statistical,s9171151_g0_n1_l0,9171151,0.0,1.0,old_spatial36,OK,0.044511997999507,0.0,,False,0.024275501930826643,0.024275501930826643,0.028995327362662814,1.0,1,1.67253635854238e-18,,,,,,
development,statistical,s9171151_g0_n1_l0,9171151,0.0,1.0,retained_half,OK,0.04451456800597953,0.0,S,False,0.024275501930826643,0.024275501930826643,0.028995327362662814,1.0,1,0.0,,,,,,
development,statistical,s9171151_g0_n1_l0,9171151,0.0,1.0,retained_map,OK,0.044514066001283936,0.0,S,False,0.024275501930826643,0.024275501930826643,0.028995327362662814,1.0,1,0.0,,,,,,
development,statistical,s9171151_g0_n1_l0,9171151,0.0,1.0,retained_mean,OK,0.04451510800572578,0.0,S,False,0.024275501930826643,0.024275501930826643,0.028995327362662814,1.0,1,0.0,,,,,,
development,statistical,s9171151_g0_n1_l0,9171151,0.0,1.0,v17_map,OK,0.04451345400593709,0.0,,False,0.024275501930826643,0.024275501930826643,0.028995327362662814,1.0,1,1.67253635854238e-18,,,,,,
