phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
confirmation,statistical,s9181161_g0_n1_l0,9181161,0.0,1.0,v17_map,OK,2.2919861859991215,0.0,,False,0.05543453058444662,0.05543453058444662,0.06774061962763124,1.0,1,4.087489825706134e-18,,,,
confirmation,statistical,s9181161_g0_n2_l0,9181161,0.0,2.0,identity,OK,3.7441914709997945,0.0,,False,1.6058958346346326,1.6058958346346326,1.9943015002635143,0.4049479166666667,,,,,,
confirmation,statistical,s9181161_g0_n2_l0,9181161,0.0,2.0,old_spatial36,OK,3.744196772997384,0.0,,False,0.11086906116889324,0.11086906116889324,0.13548123925526248,1.0,1,8.174926651535282e-18,,,,
confirmation,statistical,s9181161_g0_n2_l0,9181161,0.0,2.0,retained_half,OK,3.744199574000959,0.0,S,False,0.11086906116889324,0.11086906116889324,0.13548123925526248,1.0,1,0.0,,,,
confirmation,statistical,s9181161_g0_n2_l0,9181161,0.0,2.0,retained_map,OK,3.7441987470010645,0.0,S,False,0.11086906116889324,0.11086906116889324,0.13548123925526248,1.0,1,0.0,,,,
confirmation,statistical,s9181161_g0_n2_l0,9181161,0.0,2.0,retained_mean,OK,3.7442004100012127,0.0,S,False,0.11086906116889324,0.11086906116889324,0.13548123925526248,1.0,1,0.0,,,,
confirmation,statistical,s9181161_g0_n2_l0,9181161,0.0,2.0,v17_map,OK,3.744197878004343,0.0,,False,0.11086906116889324,0.11086906116889324,0.13548123925526248,1.0,1,8.174926651535282e-18,,,,
confirmation,statistical,s9181161_g2_n1_l0,9181161,2.0,1.0,identity,OK,1.9560723240065272,0.0,,False,0.6427382069913868,0.8029479173173162,0.9971507501317571,0.7096354166666666,,,1.9622946256638758,0.0377053743361242,,
confirmation,statistical,s9181161_g2_n1_l0,9181161,2.0,1.0,old_spatial36,OK,1.9560768470037146,0.0,,False,0.11286426971426677,0.4355106109246538,0.8290161670263989,0.8372395833333334,2,0.0,1.296091247890359,0.703908752109641,2.00116299535877,0.0011629953587699582
confirmation,statistical,s9181161_g2_n1_l0,9181161,2.0,1.0,retained_half,OK,1.9560787200025516,0.0,C,False,0.209931911976124,0.45638482244794215,0.7497826566132034,0.828125,2,0.15510351011443047,1.153255183645129,0.846744816354871,2.0005865205481115,0.0005865205481114799
confirmation,statistical,s9181161_g2_n1_l0,9181161,2.0,1.0,retained_map,OK,1.9560781770051108,0.0,C,False,0.1211703659476611,0.4612982316589541,0.850187009701203,0.828125,2,0.0,1.2554470796656043,0.7445529203343957,2.0005865205481115,0.0005865205481114799
confirmation,statistical,s9181161_g2_n1_l0,9181161,2.0,1.0,retained_mean,OK,1.9560792300035246,0.0,C,False,0.3482826635648794,0.496561722051286,0.7018149061381619,0.8359375,2,0.31020702022886093,1.0510632876246528,0.9489367123753472,2.0005865205481115,0.0005865205481114799
confirmation,statistical,s9181161_g2_n1_l0,9181161,2.0,1.0,v17_map,OK,1.9560775890058721,0.0,,False,0.1211703659476611,0.4612982316589541,0.850187009701203,0.828125,2,0.0,1.2554470796656043,0.7445529203343957,2.0005865205481115,0.0005865205481114799
confirmation,statistical,s9181161_g2_n1_l0.5,9181161,2.0,1.0,identity,OK,2.1775572019978426,0.5,,False,0.6489056874712814,0.8029479173173162,0.9971507501317571,0.7057291666666666,,,1.9570127471250325,0.04298725287496752,,
confirmation,statistical,s9181161_g2_n1_l0.5,9181161,2.0,1.0,old_spatial36,OK,2.1775612350029405,0.5,,False,0.14823086211884898,0.4103765181218406,0.7600397041880694,0.8541666666666666,2,0.0,1.3561032416360714,0.6438967583639286,2.0084815333054156,0.008481533305415567
confirmation,statistical,s9181161_g2_n1_l0.5,9181161,2.0,1.0,retained_half,OK,2.1775631839991547,0.5,L,False,0.23860816067443555,0.43071257720147854,0.6870714130016911,0.8489583333333334,2,0.11380281906536834,1.2097785817895472,0.7902214182104528,2.087589432144393,0.08758943214439308
confirmation,statistical,s9181161_g2_n1_l0.5,9181161,2.0,1.0,retained_map,OK,2.177562623000995,0.5,L,False,0.18004410580626184,0.4317026624238325,0.7576485374107603,0.8489583333333334,2,0.0,1.2989898898891252,0.7010101101108748,2.087589432144393,0.08758943214439308
confirmation,statistical,s9181161_g2_n1_l0.5,9181161,2.0,1.0,retained_mean,OK,2.1775636809979915,0.5,L,False,0.33163642420835665,0.4624655632742395,0.6593911894370034,0.8567708333333334,2,0.22760563813073667,1.1205672736899697,0.8794327263100303,2.087589432144393,0.08758943214439308
confirmation,statistical,s9181161_g2_n1_l0.5,9181161,2.0,1.0,v17_map,OK,2.1775620089974836,0.5,,False,0.18004410580626184,0.4317026624238325,0.7576485374107603,0.8489583333333334,2,0.0,1.2989898898891252,0.7010101101108748,2.087589432144393,0.08758943214439308
confirmation,statistical,s9181161_g2_n1_l1,9181161,2.0,1.0,identity,OK,4.0602427999983774,1.0,,True,0.6550282172118639,0.8029479173173162,0.9971507501317571,0.72265625,,,1.9984234396972098,0.0015765603027901864,,
confirmation,statistical,s9181161_g2_n1_l1,9181161,2.0,1.0,old_spatial36,OK,4.060247599998547,1.0,,True,0.042033076154697625,0.07241681621939529,0.2523792163565217,0.9856770833333334,2,0.0,1.9571938075464292,0.04280619245357076,1.9091815910411536,0.09081840895884641
confirmation,statistical,s9181161_g2_n1_l1,9181161,2.0,1.0,retained_half,OK,4.060250344999076,1.0,L,True,0.06864172683090612,0.08928231780524226,0.22927503949211006,0.9869791666666666,2,0.02631178197374288,1.9265959127985335,0.07340408720146652,1.899352410560466,0.100647589439534
confirmation,statistical,s9181161_g2_n1_l1,9181161,2.0,1.0,retained_map,OK,4.060249393995036,1.0,L,True,0.0445619226519722,0.07238289342745968,0.24252347817207298,0.9869791666666666,2,0.0,1.9647051694896855,0.03529483051031446,1.899352410560466,0.100647589439534
confirmation,statistical,s9181161_g2_n1_l1,9181161,2.0,1.0,retained_mean,OK,4.060251101000176,1.0,L,True,0.09433399404101073,0.10771736089933354,0.24167510264172773,0.9869791666666666,2,0.05262356394748576,1.8884866561073814,0.11151334389261858,1.899352410560466,0.100647589439534
confirmation,statistical,s9181161_g2_n1_l1,9181161,2.0,1.0,v17_map,OK,4.060248566995142,1.0,,True,0.0445619226519722,0.07238289342745968,0.24252347817207298,0.9869791666666666,2,0.0,1.9647051694896855,0.03529483051031446,1.899352410560466,0.100647589439534
confirmation,statistical,s9181161_g2_n2_l0,9181161,2.0,2.0,identity,OK,2.488596505994792,0.0,,False,1.1373446952886415,1.6058958346346324,1.994301500263514,0.4036458333333333,,,1.9245892513277512,0.07541074867224884,,
confirmation,statistical,s9181161_g2_n2_l0,9181161,2.0,2.0,old_spatial36,OK,2.488600503995258,0.0,,False,0.8886615144833244,0.9999770012233722,1.0090736212240115,0.4908854166666667,1,2.8044453082145367e-17,4.59975532555168e-05,1.9999540024467444,0.0,2.0
