case,domain,method,output,output_sha256,prepare_seconds,decode_seconds,association_change_fraction,fallback_components,gap_mm,amplitude_mm,surface_accuracy_mean_mm,surface_accuracy_p95_mm,matched_point_rms_mm
dual_g8_s9134101_b4_a8,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__old_original.npz,3084bb778fc6bdf3f40242dc89ce92a85ef3021bf2a8276898f39e8386e47469,,,0.0,,8,8,0.38762803875963336,1.08049241285547,0.6892659863490525
dual_g8_s9134101_b4_a8,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__whole_spatial.npz,8ef380d68dbed0074037cc59dd9e9feae0f669b66c4f095039d987b7b2295417,,,,,8,8,1.1680342094314993,2.8019790200070367,1.4693046192050565
dual_g8_s9134101_b4_a8,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__local_spatial_96.npz,4391a9ada5ea932ad4ccde84c863184b3a420b156029533930a8c95d76708090,,,,,8,8,0.4586508389982808,1.6598190186649486,0.8264313583474553
dual_g8_s9134101_b4_a8,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__apss_2.npz,6223da5f92fed1e7869587075b80298a5af740a1ef1990417259f7fe4e6d6a8f,,,,,8,8,0.45760720361435975,1.0892499917469445,0.7404405643346303
dual_g8_s9134101_b4_a8,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__rimls_2.npz,6641d62d1343742e4cd1399143b9f99019035029de869f64d6baf4533214a39b,,,,,8,8,0.4731780798448268,1.1057197977745772,0.753867978144319
ghost_s9134111_b0_a0,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__global_hard.npz,c2125a18ae7a32ee6f8f25c4f1dd7a34d245a2e7ad9f5050b7355fa42614529b,0.04027012899996407,0.00014289000000644592,0.0,0,0.0,0,0.04561196444368613,0.09498550222668874,0.05383041631783748
ghost_s9134111_b0_a0,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__atlas_hard_96.npz,8544ed94ceace06eaf4cfdb226a1b14c32d5605d4ae5b413bf1a7fffa4b347db,0.04027012899996407,0.0018483119999928022,0.0,0,0.0,0,0.1282865239265313,0.2918526484830842,0.1557077234166242
ghost_s9134111_b0_a0,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__atlas_hard_256.npz,7fda4602768f18b6878f292fa38bbb13704b8c18d15939d90e9eb0128950caf4,0.04027012899996407,0.0011251269999092983,0.0,0,0.0,0,0.07145168345722251,0.19258700077161703,0.08914522344720471
ghost_s9134111_b0_a0,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__atlas_tied_96.npz,b63ad3875c37011773e1b7aa87568287eafe5ec8e6aaf6eed3c83d9eed754d0c,0.04027012899996407,0.001559579000058875,0.0,0,0.0,0,0.09191283265064805,0.20919614387775978,0.10528632899518887
ghost_s9134111_b0_a0,synthetic,atlas_tied_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__atlas_tied_256.npz,ab83df161eb33ee52328f67731281a8210f8d5b805c5ad5b8546a2c48beabb6f,0.04027012899996407,0.0010437229999524789,0.0,0,0.0,0,0.06431351515849258,0.11967488240691256,0.07312452880485912
ghost_s9134111_b0_a0,synthetic,atlas_relax_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__atlas_relax_96.npz,8544ed94ceace06eaf4cfdb226a1b14c32d5605d4ae5b413bf1a7fffa4b347db,0.04027012899996407,0.012387803000024178,0.0,0,0.0,0,0.1282865239265313,0.2918526484830842,0.1557077234166242
ghost_s9134111_b0_a0,synthetic,atlas_relax_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__atlas_relax_256.npz,7fda4602768f18b6878f292fa38bbb13704b8c18d15939d90e9eb0128950caf4,0.04027012899996407,0.0056884460000219406,0.0,0,0.0,0,0.07145168345722251,0.19258700077161703,0.08914522344720471
ghost_s9134111_b0_a0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__bias_only.npz,c02de4f37f9807f5747923f5db02fc80c1866a5fc106cb70a24478cfb3bbd616,,,,,0.0,0,0.8079034063224432,1.9873426875552345,1.0071083567708259
ghost_s9134111_b0_a0,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__old_original.npz,17e6df23945aacddcdd3978ce582f5a275c9a805d474efa9da9b53b965d81978,,,0.0,,0.0,0,0.045340218909646936,0.09393620951580986,0.05378122937494586
ghost_s9134111_b0_a0,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__whole_spatial.npz,c605369b9586f6281b1a56142bf10466ea1bc15f75edc1ce6a179dfaeb8eda6e,,,,,0.0,0,0.045744504086009614,0.09526494279537735,0.054294220107090924
ghost_s9134111_b0_a0,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__local_spatial_96.npz,a4ecdf12c654daa359e5ae867137ca7bc2fb9e6ccdf70888644121e14b861adc,,,,,0.0,0,0.12828652392653137,0.2918526484830842,0.15570772341662423
ghost_s9134111_b0_a0,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__apss_2.npz,191bdb07e4faa2b8fe138b9f50d64073aed9464ae427c70ea0620390c7b6cc6e,,,,,0.0,0,0.3640113490981289,0.9313570324095428,0.4612180308412594
ghost_s9134111_b0_a0,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a0__rimls_2.npz,281db32c42c5ee21729e79804dc08093b1b4d6bc12507268557f805b1457493e,,,,,0.0,0,0.3759795202182854,0.9659527109943541,0.49253883703276496
ghost_s9134111_b0_a2,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a2__global_hard.npz,b12b0a6e6a37df6783cae5593aa55548c7d0b2d8403afd59e4f57b93296ad385,0.03897046899999168,0.0001499530000046434,0.0,0,0.0,2,0.35452453619956925,0.9240875044116901,0.46450248220367757
ghost_s9134111_b0_a2,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a2__atlas_hard_96.npz,61f0dfeeb3dc6ffa6094bbb6df153387bfe8a06f9ffd2330455db9617363d72a,0.03897046899999168,0.002082413000039196,0.0,4,0.0,2,0.3816849292209287,1.1454256241810974,0.5384072481395741
ghost_s9134111_b0_a2,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a2__atlas_hard_256.npz,0abc767a60d3cc147269e3aa663fc20c87eb80f8b0d06bf987f68b55df78a350,0.03897046899999168,0.0012926819999847794,0.0,0,0.0,2,0.35031043506233134,0.9937629860144799,0.4776589289858809
ghost_s9134111_b0_a2,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134111_b0_a2__atlas_tied_96.npz,37f7875ad0fa81b90b8d92d4fd1ae6d87f6efdf053db7872ad45c617520d021a,0.03897046899999168,0.00174521700000696,0.0,4,0.0,2,0.3661353498333478,0.9379970199231336,0.4759993324106427
