phase,case,seed,gap,sigma,supplied_sigma,ratio,dependence,sigma_factor,kind,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,bias,retain
confirmation,s9191111_g8_n1_p0.8_l0,9191111,8.0,1.0,1.0,0.8,0.0,1.0,statistical,a_insample_gate_map,OK,2.7916590819950216,0.049778545468765145,0.05024887098497628,0.0497785454687801,points,2,768,0.05825103853389957,0.05825103853389957,1.0,,3.718821004106088e-11,0.7994791666666666,0.0,0.012695846625410567,0.0,0.01600645933127076,0,,
confirmation,s9191111_g8_n1_p0.8_l1,9191111,8.0,1.0,1.0,0.8,1.0,1.0,statistical,a_crossfit_gate_map,OK,2.8449229200050468,0.05062900496768422,0.05862646199048614,0.050629004967699544,points,2,768,0.05830298912980952,0.05830298912980952,1.0,,3.2156366135920035e-17,0.7994791666666666,0.0,0.09103902806105069,0.0,0.024797970012287784,0,,
confirmation,s9191111_g8_n1_p0.8_l1,9191111,8.0,1.0,1.0,0.8,1.0,1.0,statistical,a_insample_gate_map,OK,2.8449283549998654,0.05062900742315594,0.05862645998026925,0.05062900742317125,points,2,768,0.058302990977589356,0.058302990977589356,1.0,,1.634875521566197e-17,0.7994791666666666,0.0,0.09103901295449468,0.0,0.024798004428560283,0,,
confirmation,s9191111_g8_n2_p0.2_l0,9191111,8.0,2.0,2.0,0.2,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.722922239001491,0.16755611427304729,0.47952192873329635,0.1768866258695808,points,2,768,1.2496251798304248,1.2496251798304248,0.9778645833333334,,0.01803267277146275,0.19921875,0.0013020833333333426,0.7899386813480556,0.0397965226955455,0.18951159830986342,0,,
confirmation,s9191111_g8_n2_p0.2_l0,9191111,8.0,2.0,2.0,0.2,0.0,1.0,statistical,a_insample_gate_map,OK,2.7229270550014917,0.16773416191399418,0.4798100664773638,0.1770654116885842,points,2,768,1.2496055788537965,1.2496055788537965,0.9778645833333334,,0.018146590193457757,0.19921875,0.0013020833333333426,0.7906650886844497,0.0397965226955455,0.19028885680683416,0,,
confirmation,s9191111_g8_n2_p0.2_l1,9191111,8.0,2.0,2.0,0.2,1.0,1.0,statistical,a_crossfit_gate_map,OK,2.8832013370119967,0.11537006464503052,0.20275577913789752,0.12546634703201412,points,2,768,0.32242974230795174,0.32242974230795174,0.9986979166666666,,0.0015068710705265383,0.19921875,0.0013020833333333426,0.280763800224058,0.003246753246753247,0.1895911328740798,0,,
confirmation,s9191111_g8_n2_p0.2_l1,9191111,8.0,2.0,2.0,0.2,1.0,1.0,statistical,a_insample_gate_map,OK,2.8832065660099033,0.11200317350701557,0.19901703201639592,0.1221413392599385,points,2,768,0.321076171355841,0.321076171355841,0.9986979166666666,,0.0012486644221828388,0.19921875,0.0013020833333333426,0.27696407894045016,0.003246753246753247,0.1930372839948351,0,,
confirmation,s9191111_g8_n2_p0.5_l0,9191111,8.0,2.0,2.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.6997904400050174,0.16063677056610984,0.37500572924675313,0.20795226662625274,points,2,768,1.3303576341403582,1.3303576341403582,0.9778645833333334,,0.019865255754625135,0.5065104166666666,0.00651041666666663,0.3935697696832605,0.02734375,0.027869014233202094,0,,
confirmation,s9191111_g8_n2_p0.5_l0,9191111,8.0,2.0,2.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,2.6997957069979748,0.1618878519541132,0.3762191756601777,0.20915795784266145,points,2,768,1.3304999636215797,1.3304999636215797,0.9778645833333334,,0.01999065081115927,0.5065104166666666,0.00651041666666663,0.3933703057004463,0.02734375,0.027913711835473975,0,,
confirmation,s9191111_g8_n2_p0.5_l1,9191111,8.0,2.0,2.0,0.5,1.0,1.0,statistical,a_crossfit_gate_map,OK,2.924849457005621,0.09848898154535812,0.1087423826787766,0.10874238267884406,points,2,768,0.3114069046573208,0.3114069046573208,0.9986979166666666,,0.0009990348252206607,0.5013020833333334,0.0013020833333333703,0.1566094988498854,0.0013020833333333333,0.10116673190100389,0,,
confirmation,s9191111_g8_n2_p0.5_l1,9191111,8.0,2.0,2.0,0.5,1.0,1.0,statistical,a_insample_gate_map,OK,2.9248556370002916,0.09735338607448941,0.1179160979643264,0.09735338607455699,points,2,768,0.42316728236889145,0.42316728236889145,0.9973958333333334,,0.000990832082637098,0.5,0.0,0.13551229325388015,0.0026041666666666665,0.09544043509827382,0,,
confirmation,s9191111_g8_n2_p0.8_l0,9191111,8.0,2.0,2.0,0.8,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.766462412997498,0.1726892546216269,0.4918869463921684,0.22890029321016178,points,2,768,1.1650078515951974,1.1650078515951974,0.9791666666666666,,0.0172316735056267,0.8072916666666666,0.0078125,0.5300122762546442,0.03978594695207073,0.10574347007954898,0,,
confirmation,s9191111_g8_n2_p0.8_l0,9191111,8.0,2.0,2.0,0.8,0.0,1.0,statistical,a_insample_gate_map,OK,2.766467527995701,0.17242006017275732,0.49160806045236777,0.22864014346042494,points,2,768,1.1649588312173422,1.1649588312173422,0.9791666666666666,,0.017240812043144576,0.8072916666666666,0.0078125,0.5302343483985359,0.03978594695207073,0.10551944655135514,0,,
confirmation,s9191111_g8_n2_p0.8_l1,9191111,8.0,2.0,2.0,0.8,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.119458435001434,0.10746247512271338,0.1468177320506729,0.11741236295873769,points,2,768,0.30807318216794116,0.30807318216794116,0.9986979166666666,,0.0007438630965686646,0.80078125,0.0013020833333333703,0.1288149674858463,0.003246753246753247,0.07753538664469062,0,,
confirmation,s9191111_g8_n2_p0.8_l1,9191111,8.0,2.0,2.0,0.8,1.0,1.0,statistical,a_insample_gate_map,OK,3.1194630849931855,0.1058847836362516,0.14537298110159655,0.1158531878311514,points,2,768,0.3076371534303575,0.3076371534303575,0.9986979166666666,,0.00061252229457556,0.80078125,0.0013020833333333703,0.12792950365956202,0.003246753246753247,0.07345152971792412,0,,
confirmation,s9191121_g0_n1_p0.5_l0,9191121,0.0,1.0,1.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,0.008156841999152675,0.05503962687839457,0.05503962687839457,0.055039626878394074,points,1,768,0.0669103437057779,0.0669103437057779,1.0,0,0.0,,,,,,,,
confirmation,s9191121_g0_n1_p0.5_l0,9191121,0.0,1.0,1.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,0.008161402001860552,0.05503962687839457,0.05503962687839457,0.055039626878394074,points,1,768,0.0669103437057779,0.0669103437057779,1.0,0,0.0,,,,,,,,
confirmation,s9191121_g0_n2_p0.5_l0,9191121,0.0,2.0,2.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,0.008308803997351788,0.11007925375678913,0.11007925375678913,0.11007925375678815,points,1,768,0.1338206874115558,0.1338206874115558,1.0,0,0.0,,,,,,,,
confirmation,s9191121_g0_n2_p0.5_l0,9191121,0.0,2.0,2.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,0.008313330996315926,0.11007925375678913,0.11007925375678913,0.11007925375678815,points,1,768,0.1338206874115558,0.1338206874115558,1.0,0,0.0,,,,,,,,
confirmation,s9191121_g2_n1_p0.2_l0,9191121,2.0,1.0,1.0,0.2,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.7282175020081922,0.11071020135718211,0.5418902158877777,0.14464646371765227,points,2,768,0.6955111765433442,0.6955111765433442,0.8815104166666666,,0.08732745327417497,0.18229166666666666,0.018229166666666685,0.9395169015284561,0.2119590507212657,0.17661054089775807,0,,
confirmation,s9191121_g2_n1_p0.2_l0,9191121,2.0,1.0,1.0,0.2,0.0,1.0,statistical,a_insample_gate_map,OK,2.7282228590047453,0.1135737232655412,0.5254316811107244,0.1504575397130079,points,2,768,0.684214535901271,0.684214535901271,0.8880208333333334,,0.08748612054142461,0.18098958333333334,0.01953125,0.8863648870976897,0.2030225474850882,0.14192340050565533,0,,
confirmation,s9191121_g2_n1_p0.2_l1,9191121,2.0,1.0,1.0,0.2,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.0122257040056866,0.05500308759656327,0.07675186451874136,0.06261812388975165,points,2,768,0.17545708845768923,0.17545708845768923,0.9934895833333334,,0.006095131073708841,0.19661458333333334,0.00390625,0.015292214031278561,0.013801345234569991,0.047793006722241405,0,,
confirmation,s9191121_g2_n1_p0.2_l1,9191121,2.0,1.0,1.0,0.2,1.0,1.0,statistical,a_insample_gate_map,OK,3.012231005996,0.057602181902411065,0.07521655485903983,0.060142105054315366,points,2,768,0.17589852229454697,0.17589852229454697,0.9947916666666666,,0.005484400082269904,0.19921875,0.0013020833333333426,0.02862654945838372,0.011368924235373747,0.06686806335872708,0,,
confirmation,s9191121_g2_n1_p0.5_l0,9191121,2.0,1.0,1.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.698210767994169,0.12332284873466698,0.4215710116820739,0.18485186674606277,points,2,768,0.7999510310862934,0.7999510310862934,0.8450520833333334,,0.1211356270425419,0.54296875,0.04296875,0.6693355902351428,0.16536458333333334,0.034001879470700436,0,,
confirmation,s9191121_g2_n1_p0.5_l0,9191121,2.0,1.0,1.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,2.69821551599307,0.12526370922949576,0.42515479152760216,0.188490147236143,points,2,768,0.8029764834682569,0.8029764834682569,0.84375,,0.12168372274876359,0.5442708333333334,0.04427083333333337,0.6735418654624434,0.16666666666666666,0.032704468628263594,0,,
confirmation,s9191121_g2_n1_p0.5_l1,9191121,2.0,1.0,1.0,0.5,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.0703219729912234,0.38685919337068597,0.3930050485320946,0.3869526526452165,points,2,768,0.4655893325337439,0.4655893325337439,0.9791666666666666,,0.15301537896129438,0.5026041666666666,0.0026041666666666297,0.4005647979415057,0.020833333333333336,1.3988785571621398,0,,
confirmation,s9191121_g2_n1_p0.5_l1,9191121,2.0,1.0,1.0,0.5,1.0,1.0,statistical,a_insample_gate_map,OK,3.070327642999473,0.07990569662892609,0.1096585555435389,0.08427477503902327,points,2,768,0.2651113310245628,0.2651113310245628,0.984375,,0.011389467568241706,0.5026041666666666,0.0026041666666666297,0.01587161996960651,0.015625,0.05534591897244168,0,,
confirmation,s9191121_g2_n1_p0.8_l0,9191121,2.0,1.0,1.0,0.8,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.7096109749982134,0.07233549677680885,0.49977083053835275,0.14339410839965966,points,2,768,0.6781628934449087,0.6781628934449087,0.8828125,,0.08731618505529626,0.8424479166666666,0.04296875,0.9824369987788182,0.22897542197216467,0.13262438616942562,0,,
confirmation,s9191121_g2_n1_p0.8_l0,9191121,2.0,1.0,1.0,0.8,0.0,1.0,statistical,a_insample_gate_map,OK,2.7096160450018942,0.07117288377385901,0.4898975624226582,0.12234102543067434,points,2,768,0.6912147050877401,0.6912147050877401,0.87890625,,0.0868359794429903,0.8307291666666666,0.03125,0.9475004826331626,0.22412115571724694,0.10307270373225319,0,,
confirmation,s9191121_g2_n1_p0.8_l1,9191121,2.0,1.0,1.0,0.8,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.1072575589932967,0.05951078498793525,0.09966108017860181,0.06732328498793091,points,2,768,0.21263934384279418,0.21263934384279418,0.9908854166666666,,0.00971121020107265,0.7955729166666666,0.00390625,0.04601361624991629,0.01056516773129151,0.13253291111826293,0,,
confirmation,s9191121_g2_n1_p0.8_l1,9191121,2.0,1.0,1.0,0.8,1.0,1.0,statistical,a_insample_gate_map,OK,3.1072634479933186,0.06014763307274157,0.09178894822953074,0.07056429973940387,points,2,768,0.19943594941770115,0.19943594941770115,0.9921875,,0.009118598954040354,0.7942708333333334,0.005208333333333259,0.05459529800723262,0.007318414484538263,0.1343161417623051,0,,
