case,seed,gap,sigma,bias,retain,phase,kind,supplied_sigma,sigma_factor,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,ratio,dependence
s9182101_g4_n2.0_b0_r0.25,9182101,4,2.0,0,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,2.5600505309994332,0.7606647535146384,0.8689941437992923,0.7688910710672787,points,2,432,0.9511781934039486,0.9511781934039486,0.6828703703703703,,0.1599527513787409,0.23148148148148148,0.025462962962962937,0.9680587073056657,0.04954954954954955,3.63441161624327,0,,
s9182101_g4_n2.0_b0_r0.25,9182101,4,2.0,0,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,2.560055656998884,0.30533893629823017,0.3394174214917124,0.2944411076966026,points,2,432,0.5340368564252096,0.5340368564252096,0.9884259259259259,,0.00884567009464912,0.25925925925925924,0.002314814814814825,0.10423948355531909,0.01368190620527069,0.4844660073477063,0,,
s9182101_g4_n2.0_b0_r1.0,9182101,4,2.0,0,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.173976224992657,0.21464675954680992,0.24974551651367793,0.21941044096407852,points,2,768,0.4935082401216176,0.4935082401216176,0.9869791666666666,,0.010820245046537226,0.5768229166666666,0.00520833333333337,0.2924147819007734,0.01250287482489703,0.5170310719726912,0,,
s9182101_g4_n2.0_b0_r1.0,9182101,4,2.0,0,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.173981788000674,0.21106600696265665,0.23846767331928687,0.2082973186418683,points,2,768,0.45270390147223544,0.45270390147223544,0.9895833333333334,,0.009511356322131443,0.5794270833333334,0.0026041666666666297,0.2781565733801985,0.010265738359572644,0.4860736257974634,0,,
s9182101_g4_n2.0_b4_r0.25,9182101,4,2.0,4,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,2.6034125269943615,0.7069606133822043,0.7806670752703658,0.7130115583952399,points,2,432,0.8998020502787999,0.8998020502787999,0.7245370370370371,,0.11969440493310078,0.24074074074074073,0.016203703703703692,0.7989147867165567,0.03153153153153153,3.1829281378337657,0,,
s9182101_g4_n2.0_b4_r0.25,9182101,4,2.0,4,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,2.603416865997133,0.34818323423995,0.38162806424754386,0.33662977152735857,points,2,432,0.5875153562688297,0.5875153562688297,0.9884259259259259,,0.008769040961050686,0.25925925925925924,0.002314814814814825,0.10439088019864595,0.01368190620527069,0.48408663325052714,0,,
s9182101_g4_n2.0_b4_r1.0,9182101,4,2.0,4,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.1190346039948054,0.2153096648064936,0.24223420532618106,0.21257492367696926,points,2,768,0.4765091125980827,0.4765091125980827,0.9895833333333334,,0.010695307814165384,0.5794270833333334,0.0026041666666666297,0.2815531957006989,0.010265738359572644,0.5310062336743693,0,,
s9182101_g4_n2.0_b4_r1.0,9182101,4,2.0,4,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.1190394570003264,0.21105740138665255,0.23843206709078296,0.20819432712406727,points,2,768,0.47562334132528106,0.47562334132528106,0.9895833333333334,,0.009470015566606803,0.5794270833333334,0.0026041666666666297,0.2787130230024837,0.010265738359572644,0.48559977927808307,0,,
s9182101_g8_n0.5_b0_r0.25,9182101,8,0.5,0,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.227829853000003,0.049239104120614385,0.05708202729221222,0.049239104120631344,points,2,396,0.12887090446286098,0.12887090446286098,0.9924242424242424,,9.967466062920891e-82,0.29797979797979796,0.0,0.06982159215428574,0.0,0.1811201778489,0,,
s9182101_g8_n0.5_b0_r0.25,9182101,8,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.227834384990274,0.04923910432579731,0.05708202751817494,0.049239104325814256,points,2,396,0.12887090454386085,0.12887090454386085,0.9924242424242424,,3.452689667796983e-82,0.29797979797979796,0.0,0.06982159231275276,0.0,0.18112017788368462,0,,
