scene,method,n,kind,accuracy_mm,p95_mm,completeness_mm,recall,fscore,displacement_rms_mm,displacement_max_mm,moved_fraction,field,allocation,requested_budget_mm,seed,actual_budget_mean_mm,duplicate_budget_patches,uninformative_patches,max_normalization_factor,mean_gain_mm,median_gain_mm,relative_gain_percent,within_scene_patch_bootstrap_ci95_mm,wins,ties,losses,recall_difference_pp,fscore_difference
scan37,budget0.025__multiscale_full__alpha,24,budget,0.43595604738924526,1.072206450895875,0.5321592291188068,0.9227043173588013,0.9125738932777789,0.025000000000000005,0.11242679719369096,1.0,multiscale_full,alpha,0.025,,0.025000000000000005,0,0,1.2281185534339407,0.0012897329384493963,0.000985959837752945,0.29496749802429,"[0.0008116552317081723, 0.0018138839295027541]",20,0,4,-0.08729098638559801,-0.0002797819792579037
scan37,budget0.025__multiscale_full__shuffle_92401,24,budget,0.43596500785553777,1.0718922880355783,0.5320197169182018,0.9226996448183146,0.9124991596058547,0.025000000000000234,0.1679518449487105,1.0,multiscale_full,shuffle,0.025,92401,0.025000000000000005,0,0,1.1414857791949309,0.0012807724721568547,0.0009848199864796042,0.2929182006506714,"[0.0007405544335737709, 0.001834201450026858]",20,0,4,-0.08775824043426605,-0.00035451565118223283
scan37,budget0.025__multiscale_full__shuffle_92402,24,budget,0.43596713454714475,1.0717307207231561,0.5319718943489281,0.9227643894937337,0.9125374644598135,0.025000000000000116,0.16177550165608653,1.0,multiscale_full,shuffle,0.025,92402,0.025000000000000005,0,0,1.150304531052076,0.0012786457805498176,0.0009757710373493877,0.29243181708731303,"[0.0007551003569968172, 0.0018192574544305653]",20,0,4,-0.08128377289235827,-0.00031621079722354145
scan37,budget0.025__multiscale_full__shuffle_92403,24,budget,0.4359476690919071,1.0724424945892892,0.5319276943016913,0.9228748015356162,0.9125546691990009,0.024999999999999984,0.1579526005085975,1.0,multiscale_full,shuffle,0.025,92403,0.025000000000000005,0,0,1.131684204370455,0.0012981112357875538,0.0010276681857108866,0.29688365084156176,"[0.0007602842220939643, 0.0018440106586697397]",20,0,4,-0.0702425687041125,-0.0002990060580360711
scan37,budget0.025__multiscale_full__shuffle_92404,24,budget,0.43597977901620616,1.0720946397514017,0.5319609398647476,0.9227790858923614,0.9124850521654269,0.025000000000000116,0.15927289120929003,1.0,multiscale_full,shuffle,0.025,92404,0.025000000000000005,0,0,1.143584703925948,0.0012660013114884742,0.0009837797663230091,0.28953997235596773,"[0.0007051270254805658, 0.001829952334115949]",20,0,4,-0.07981413302960913,-0.0003686230916101647
scan37,budget0.025__multiscale_full__shuffle_92405,24,budget,0.43591243424429554,1.072741709117573,0.5319398217654094,0.9228676994994812,0.9124972500570697,0.024999999999999967,0.16141475279827813,1.0,multiscale_full,shuffle,0.025,92405,0.025000000000000005,0,0,1.1401837543042292,0.0013333460833990414,0.0010387173732801652,0.30494201279650524,"[0.0007935283354599108, 0.0018759266691514447]",20,0,4,-0.07095277231760413,-0.00035642519996718913
scan37,budget0.025__multiscale_full__uniform,24,budget,0.435930339781513,1.0717799820421205,0.532038532645664,0.9226738418197886,0.912461956179452,0.025000000000000022,0.15483865643563297,1.0,multiscale_full,uniform,0.025,,0.025000000000000005,0,0,0.960580711775235,0.0013154405461816056,0.0010894399716662728,0.30084693903638104,"[0.000776950074687224, 0.0018718943889494077]",20,0,4,-0.09033854028688582,-0.00039171907758492563
scan37,budget0.025__quadratic64__uniform,24,budget,0.43609420618004413,1.0734896178715463,0.5319588399523436,0.9228198249159588,0.9125705847005375,0.024999999999999984,0.14242397242775764,0.9999593098958334,quadratic64,uniform,0.025,,0.025000000000000005,0,0,0.9808351879989725,0.0011515741476504648,0.0008280734331085893,0.26336998536324874,"[0.0006792172676916742, 0.0016469130629289527]",20,0,4,-0.07574023066986035,-0.00028309055649934867
scan37,budget0.05__local_plane64__uniform,24,budget,0.43360210409411765,1.0656093205787958,0.5317288280836266,0.9214528285684089,0.9119153127588465,0.04641342350092285,0.2090738763107968,1.0,local_plane64,uniform,0.05,,0.04641342350092251,0,0,0.674877993601014,0.0036436762335769514,0.0029819507414430985,0.833324504777655,"[0.002013299391710335, 0.005319177519443521]",20,0,4,-0.2124398654248398,-0.0009383624981904685
scan37,budget0.05__multiscale_full__alpha,24,budget,0.43524107267496354,1.0698671503882546,0.5335373276519939,0.9220726467202031,0.9122437716449087,0.046413423500922424,0.20941893282720267,1.0,multiscale_full,alpha,0.05,,0.04641342350092251,0,0,1.500134936106792,0.002004707652731095,0.0014582934105610429,0.45848530573094903,"[0.0011478019772007964, 0.0029030224847072074]",20,0,4,-0.1504580502454403,-0.0006099036121282204
scan37,budget0.05__multiscale_full__shuffle_92401,24,budget,0.43517431360541786,1.0682886883601752,0.5332885982752625,0.9220484895352504,0.9123269995168591,0.0464134235009224,0.3139706522394185,1.0,multiscale_full,shuffle,0.05,92401,0.04641342350092251,0,0,1.2093910126103895,0.0020714667222766956,0.0013826608675841928,0.4737533935088578,"[0.0010753829756353812, 0.003069205691184165]",20,0,4,-0.15287376874070224,-0.0005266757401779348
scan37,budget0.05__multiscale_full__shuffle_92402,24,budget,0.4351866685011024,1.0690346148610883,0.5332019309422545,0.9220449519795143,0.9122022433743874,0.046413423500922556,0.30464732090238406,1.0,multiscale_full,shuffle,0.05,92402,0.04641342350092251,0,0,1.2172902510811199,0.002059111826592193,0.0014793919552846535,0.4709277754605279,"[0.0011078850869264284, 0.0029907276897263376]",20,0,4,-0.15322752431431025,-0.0006514318826496349
scan37,budget0.05__multiscale_full__shuffle_92403,24,budget,0.43516245094621925,1.06852291923841,0.5331180367025544,0.92209299280918,0.9122885440483123,0.04641342350092237,0.2963269191452215,1.0,multiscale_full,shuffle,0.05,92403,0.04641342350092251,0,0,1.2188611819873267,0.002083329381475367,0.001529387991852621,0.4764664349451331,"[0.0011245119319267883, 0.0030515763957655153]",20,0,4,-0.14842344134772906,-0.0005651312087246937
scan37,budget0.05__multiscale_full__shuffle_92404,24,budget,0.43519926319688446,1.0684616026374198,0.5331779637049218,0.9219812177317882,0.9121176728203344,0.04641342350092254,0.2988701309880453,1.0,multiscale_full,shuffle,0.05,92404,0.04641342350092251,0,0,1.2162415195460665,0.002046517130810114,0.0015810086956845049,0.4680473140933228,"[0.0010207072515802768, 0.0030423503822700603]",20,0,4,-0.15960094908691716,-0.000736002436702544
scan37,budget0.05__multiscale_full__shuffle_92405,24,budget,0.4350866226406492,1.0702036397644357,0.5331419552318479,0.921981604832332,0.9122729543847141,0.04641342350092261,0.3020663652584273,1.0,multiscale_full,shuffle,0.05,92405,0.04641342350092251,0,0,1.2049165607792118,0.002159157687045448,0.001446533329311217,0.49380869620451184,"[0.0011881446290326705, 0.0031247176435636576]",20,0,4,-0.1595622390325344,-0.000580720872322848
scan37,budget0.05__multiscale_full__uniform,24,budget,0.4351125054500525,1.0686761952581627,0.5333941393810905,0.9218553615777324,0.9122403398169597,0.04641342350092231,0.28988071882356753,1.0,multiscale_full,uniform,0.05,,0.04641342350092251,0,0,1.0,0.002133274877642099,0.0015250442017311489,0.4878891858129175,"[0.0011448584094665376, 0.0031183002869510324]",20,0,4,-0.17218656449250216,-0.0006133354400771895
scan37,budget0.05__quadratic64__uniform,24,budget,0.4354278697874155,1.070922641071692,0.5331747609513487,0.9222252140574433,0.9124190286744347,0.04641342350092236,0.2669499036161405,1.0,quadratic64,uniform,0.05,,0.04641342350092251,0,0,1.0,0.0018179105402791572,0.0011880047051310572,0.41576399866379843,"[0.0010015677934553855, 0.002654271731306554]",20,0,4,-0.1352013165214168,-0.00043464658260227346
scan37,budget0.1__local_plane64__uniform,24,budget,0.4327037733865624,1.0600982893418713,0.5340973936208538,0.9194562503040836,0.9112229094898868,0.06475356722694235,0.29435911470417264,1.0,local_plane64,uniform,0.1,,0.06475356722694224,8,0,0.6912691153307262,0.00454200694113219,0.004042646197891964,1.0387766207207716,"[0.002581845105921762, 0.006594936736458588]",20,0,4,-0.41209769185736667,-0.0016307657671502894
