key,fbig,calibration,arm,subset,n,weighted_delta
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_argmin,twosheet_front,1000,0.006406277014391179
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor2_projection,base,15451,0.038496719465041726
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor2_projection,big,2009,-0.22390396911864446
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor2_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor2_projection,twosheet_back,1000,0.043942504177067056
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor2_projection,twosheet_front,1000,0.0019313113893217565
confirmation_seed702_fbig0.01_exch,0.01,exch,identity,base,17269,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,identity,big,191,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,identity,misfit,540,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,identity,twosheet_back,1000,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,identity,twosheet_front,1000,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,test_projection,base,17269,0.04729869226139976
confirmation_seed702_fbig0.01_exch,0.01,exch,test_projection,big,191,-0.027111388990472666
confirmation_seed702_fbig0.01_exch,0.01,exch,test_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,test_projection,twosheet_back,1000,0.17222235021041984
confirmation_seed702_fbig0.01_exch,0.01,exch,test_projection,twosheet_front,1000,0.00040902869941948666
confirmation_seed702_fbig0.01_exch,0.01,exch,test_veto_projection,base,17269,-0.00423665147484881
confirmation_seed702_fbig0.01_exch,0.01,exch,test_veto_projection,big,191,-0.012191769310905551
confirmation_seed702_fbig0.01_exch,0.01,exch,test_veto_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,test_veto_projection,twosheet_back,1000,0.022359388636236356
confirmation_seed702_fbig0.01_exch,0.01,exch,test_veto_projection,twosheet_front,1000,-0.00021056997939021454
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_projection,base,17269,0.005762043374287416
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_projection,big,191,-0.02128504039358034
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_projection,twosheet_back,1000,0.049179941182755135
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_projection,twosheet_front,1000,0.00040902869941948666
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_argmin,base,17269,0.013290558850152154
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_argmin,big,191,-0.02229609528439476
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_argmin,misfit,540,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_argmin,twosheet_back,1000,0.053237136847566126
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor1_argmin,twosheet_front,1000,0.0007089822208857183
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor2_projection,base,17269,-0.0007388516306063332
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor2_projection,big,191,-0.01963985814217369
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor2_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor2_projection,twosheet_back,1000,0.03335016045916121
confirmation_seed702_fbig0.01_exch,0.01,exch,anchor2_projection,twosheet_front,1000,0.00040902869941948666
confirmation_seed702_fbig0.01_sfm,0.01,sfm,identity,base,17269,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,identity,big,191,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,identity,misfit,540,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,identity,twosheet_back,1000,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,identity,twosheet_front,1000,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_projection,base,17269,0.3436327607741946
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_projection,big,191,-0.03137873591426061
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_projection,twosheet_back,1000,0.22713538785094206
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_projection,twosheet_front,1000,0.015391490838330753
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_veto_projection,base,17269,-0.00763821209427538
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_veto_projection,big,191,-0.012056406107435339
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_veto_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_veto_projection,twosheet_back,1000,0.02264114378068061
confirmation_seed702_fbig0.01_sfm,0.01,sfm,test_veto_projection,twosheet_front,1000,-0.0005092187681778453
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_projection,base,17269,0.10460886017321988
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_projection,big,191,-0.02386507804239359
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_projection,twosheet_back,1000,0.0719120182627354
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_projection,twosheet_front,1000,0.007905030957850175
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_argmin,base,17269,0.14597333083934608
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_argmin,big,191,-0.024441560685351877
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_argmin,misfit,540,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_argmin,twosheet_back,1000,0.07629381617585018
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor1_argmin,twosheet_front,1000,0.010232724482740303
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor2_projection,base,17269,0.04202838550634007
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor2_projection,big,191,-0.021025555568629783
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor2_projection,misfit,540,0.0
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor2_projection,twosheet_back,1000,0.043412903680043004
confirmation_seed702_fbig0.01_sfm,0.01,sfm,anchor2_projection,twosheet_front,1000,0.004639209141289943
confirmation_seed702_fbig0.10_exch,0.1,exch,identity,base,15425,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,identity,big,2035,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,identity,misfit,540,0.0
