key,phase,seed,fbig,calibration,arm,group,n,moved,harm_count,benefit_count,move_rate,harm_rate,harm_among_moved,harm_sum,gain_sum,harm_p95_moved,mae,rmse,identity_mae,delta_mae,weighted_delta,half_error_rate
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,base:mm,2646,0,0,0,0.0,0.0,,0.0,0.0,,0.16250627345081464,0.20197962329964608,0.16250627345081464,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,base:single,14620,0,0,0,0.0,0.0,,0.0,0.0,,0.1595195784095686,0.20018830801009532,0.1595195784095686,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,big,194,0,0,0,0.0,0.0,,0.0,0.0,,4.949419024320771,5.223806516213049,4.949419024320771,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,big:mm,29,0,0,0,0.0,0.0,,0.0,0.0,,4.298969464642176,4.565653195215828,4.298969464642176,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,big:single,165,0,0,0,0.0,0.0,,0.0,0.0,,5.063740462082463,5.331093180738058,5.063740462082463,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,misfit,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,misfit:single,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,twosheet_back,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.16045263422440179,0.20006510954262458,0.16045263422440179,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,twosheet_back:single,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.16045263422440179,0.20006510954262458,0.16045263422440179,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,twosheet_front,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.15317413580501357,0.19348996095202278,0.15317413580501357,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,twosheet_front:single,1000,0,0,0,0.0,0.0,,0.0,0.0,,0.15317413580501357,0.19348996095202278,0.15317413580501357,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,mm,2675,0,0,0,0.0,0.0,,0.0,0.0,,0.20735017346746865,0.5160801526541863,0.20735017346746865,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,single,17325,0,0,0,0.0,0.0,,0.0,0.0,,0.20594606000337642,0.5569521278283457,0.20594606000337642,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,ALL,20000,6014,3553,2461,0.3007,0.17765,0.5907881609577652,12302.88067716779,1056.1685153033552,7.974411918520885,0.7684694682724205,2.060775963732147,0.20613386017919874,0.5623356080932217,0.5623356080932217,0.08295
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,base,17266,4804,2609,2195,0.27823468087570946,0.15110622031738677,0.5430890924229809,7539.095597325096,377.33557891989796,8.31770922168977,0.5747670482047925,1.7705645610412593,0.15997728691641078,0.41478976128838174,0.35808800092025994,0.083342986215684
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,base:mm,2646,949,694,255,0.35865457294028724,0.2622826908541194,0.7312961011591148,3078.1627734555514,41.91802041372158,7.596628690596222,1.3099910629601983,2.749122703084858,0.16250627345081464,1.1474847895093838,0.15181223765209148,0.060090702947845805
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,base:single,14620,3855,1915,1940,0.26367989056087554,0.13098495212038302,0.496757457846952,4460.932823869545,335.4175585061764,8.561055151051097,0.4417025650965295,1.527888354079451,0.1595195784095686,0.2821829866869609,0.20627576326816843,0.08755129958960328
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,big,194,155,8,147,0.7989690721649485,0.041237113402061855,0.05161290322580645,29.994645792660005,659.2030787149836,0.13292723505553886,1.7060765865768335,2.9849008475285865,4.949419024320771,-3.243342437743937,-0.031460421646116184,0.711340206185567
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,big:mm,29,19,5,14,0.6551724137931034,0.1724137931034483,0.2631578947368421,17.480033842239884,37.65901173432365,4.316428740114335,3.6031426407772185,4.522146558924073,4.298969464642176,-0.6958268238649574,-0.0010089488946041882,0.3103448275862069
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,big:single,165,136,3,133,0.8242424242424242,0.01818181818181818,0.022058823529411766,12.514611950420123,621.5440669806601,0.0,1.3726528558385842,2.62323457515386,5.063740462082463,-3.691087606243878,-0.030451472751511995,0.7818181818181819
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,misfit,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,misfit:single,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,twosheet_back,1000,809,807,2,0.809,0.807,0.9975278121137207,4469.169700951508,0.3022746215095864,6.22236646057186,4.6293200605544005,5.207995239935609,0.16045263422440179,4.468867426329998,0.2234433713164999,0.002
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,twosheet_back:single,1000,809,807,2,0.809,0.807,0.9975278121137207,4469.169700951508,0.3022746215095864,6.22236646057186,4.6293200605544005,5.207995239935609,0.16045263422440179,4.468867426329998,0.2234433713164999,0.002
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,twosheet_front,1000,246,129,117,0.246,0.129,0.524390243902439,264.620733098526,19.327583046964076,7.019408983826814,0.3984672858565755,1.3913022818318475,0.15317413580501357,0.24529315005156194,0.012264657502578095,0.08
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,twosheet_front:single,1000,246,129,117,0.246,0.129,0.524390243902439,264.620733098526,19.327583046964076,7.019408983826814,0.3984672858565755,1.3913022818318475,0.15317413580501357,0.24529315005156194,0.012264657502578095,0.08
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,mm,2675,968,699,269,0.3618691588785047,0.2613084112149533,0.7221074380165289,3095.642807297791,79.57703214804522,7.598500575791121,1.3348513978225138,2.7744262156647403,0.20735017346746865,1.1275012243550453,0.1508032887574873,0.06280373831775701
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_projection,single,17325,5046,2854,2192,0.29125541125541127,0.16473304473304473,0.5655965120887831,9207.23786987,976.5914831553101,8.123786683633984,0.6810194445179327,1.927177799512434,0.20594606000337642,0.47507338451455633,0.4115323193357344,0.08606060606060606
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,ALL,20000,1677,351,1326,0.08385,0.01755,0.20930232558139536,461.821550390899,502.7460417707854,0.38774824859397655,0.20408763561020443,0.5916112425956822,0.20613386017919874,-0.0020462245689943158,-0.0020462245689943158,0.0449
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,base,17266,1448,261,1187,0.08386424186262018,0.01511641376114908,0.18024861878453038,73.59707515060846,200.60324672550462,0.16638675197483804,0.15262143312428195,0.24492525529988696,0.15997728691641078,-0.007355853792128816,-0.006350308578744807,0.045580910459863316
