case,method,ok,seconds,sigma_mm,n_points,n_stations,error,independent_real_quality,output_finite,output_n,identifiable,k_method,note,false_split,false_merge,gap_err_mm,surface_err_mm,coverage,layer_match_failed,k_info,split,family,seed,gap_mm,bias_rms_mm,noise_protocol,k_hat,n_true_layers,patch_id,scene,perturbation,perturb_seed,actual_point_delta_rms_mm,recovery_vs_unperturbed_input_rms_mm,stability_vs_own_unperturbed_output_rms_mm,recovery_note,stability_note
dual_g4_s912101_b0,fast,True,0.004807118995813653,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.102498039140702,1.4114449142004588,1.0,False,2,synthetic_exact,true_bilayer,912101,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b0,open3d_icp_then_xyz,True,0.021211530001892243,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.8834672541009394,1.8769346551376305,1.0,False,2,synthetic_exact,true_bilayer,912101,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b4,identity,True,0.0002857020008377731,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,3.648556443526161,1.880491305569903,1.0,False,,synthetic_exact,true_bilayer,912101,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b4,xyz_mixture,True,0.003933200998289976,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,3.644781453155895,1.887646954739358,1.0,False,2,synthetic_exact,true_bilayer,912101,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b4,fast,True,0.004921637002553325,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.1300398212337068,1.1031374441355326,1.0,False,2,synthetic_exact,true_bilayer,912101,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b4,open3d_icp_then_xyz,True,0.02117348599858815,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.8692397630840096,1.8956349133635233,1.0,False,2,synthetic_exact,true_bilayer,912101,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b0,identity,True,0.00031050099642015994,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,1.7219791160962923,2.020763211181413,1.0,False,,synthetic_exact,true_bilayer,912113,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b0,xyz_mixture,True,0.019706901999597903,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,2.010622041779548,1.7675329300832676,1.0,False,2,synthetic_exact,true_bilayer,912113,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b0,fast,True,0.004874619000474922,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.2057278920348549,1.7926126169869607,1.0,False,2,synthetic_exact,true_bilayer,912113,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b0,open3d_icp_then_xyz,True,0.02153974200336961,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,2.0256545666770545,1.847289936144844,1.0,False,2,synthetic_exact,true_bilayer,912113,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b4,identity,True,0.00028318499971646816,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,2.8801671592449605,1.5431138995813887,1.0,False,,synthetic_exact,true_bilayer,912113,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b4,xyz_mixture,True,0.019367770000826567,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,2.9757683272531636,1.487884163626582,1.0,False,2,synthetic_exact,true_bilayer,912113,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b4,fast,True,0.00479989500308875,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.087036612517546,1.2945166795940926,1.0,False,2,synthetic_exact,true_bilayer,912113,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912113_b4,open3d_icp_then_xyz,True,0.021384104002208915,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.955973424667679,1.7618942519157936,1.0,False,2,synthetic_exact,true_bilayer,912113,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b0,identity,True,0.000333680996845942,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,1.541304111575311,1.9231657534867312,1.0,False,,synthetic_exact,true_bilayer,912127,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b0,xyz_mixture,True,0.01965684500464704,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.8057395535148144,1.857550711863888,1.0,False,2,synthetic_exact,true_bilayer,912127,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b0,fast,True,0.0048219989985227585,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.3043246640736985,2.0000000000000027,1.0,False,2,synthetic_exact,true_bilayer,912127,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b0,open3d_icp_then_xyz,True,0.021318791004887316,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.8049722074737402,1.8585522173373692,1.0,False,2,synthetic_exact,true_bilayer,912127,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b4,identity,True,0.0002773609958239831,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,3.3099830445929097,2.428319319019117,1.0,False,,synthetic_exact,true_bilayer,912127,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b4,xyz_mixture,True,0.007306854000489693,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,3.31675841373065,2.489491445099662,1.0,False,2,synthetic_exact,true_bilayer,912127,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b4,fast,True,0.0048541770011070184,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.2935597561089982,1.6229308514370622,1.0,False,2,synthetic_exact,true_bilayer,912127,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912127_b4,open3d_icp_then_xyz,True,0.021697531003155746,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.7942608384134489,1.8793672659773288,1.0,False,2,synthetic_exact,true_bilayer,912127,4.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b0,identity,True,0.0002920970000559464,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,4.084668751420385,3.653330045698681,1.0,False,,synthetic_exact,true_bilayer,912101,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b0,xyz_mixture,True,0.011172812999575399,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.0983965655816705,3.5400706489020113,1.0,False,2,synthetic_exact,true_bilayer,912101,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b0,fast,True,0.005027574996347539,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.01026481668361,3.537647875891721,1.0,False,2,synthetic_exact,true_bilayer,912101,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b0,open3d_icp_then_xyz,True,0.011923551996005699,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.078827121461714,3.531075402040173,1.0,False,2,synthetic_exact,true_bilayer,912101,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
