case,goal_id,family,goal_mask,method,budget,allowed_bits,costs,removed_bit,error,error_count,mean_query_cost,max_query_cost,mean_query_count,runtime_seconds,counts
nonunit_costs,mux_01,multiplexer,6939,fixed_prefix,1,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.513000360224396e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_01,multiplexer,6939,adaptive,2,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.3114000466885045e-05,"{""cache_hits"": 0, ""query_candidates"": 2, ""states"": 5, ""terminal_evaluations"": 5}"
nonunit_costs,mux_01,multiplexer,6939,open_loop,2,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.1674999768729322e-05,"{""subsets_evaluated"": 3, ""terminal_evaluations"": 5, ""tree_nodes"": 7}"
nonunit_costs,mux_01,multiplexer,6939,fixed_prefix,2,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.59599902771879e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_01,multiplexer,6939,adaptive,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,3,1.5,2.2322999939206056e-05,"{""cache_hits"": 4, ""query_candidates"": 7, ""states"": 11, ""terminal_evaluations"": 11}"
nonunit_costs,mux_01,multiplexer,6939,open_loop,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.5003999578766525e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 11, ""tree_nodes"": 17}"
nonunit_costs,mux_01,multiplexer,6939,fixed_prefix,3,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,6.719999873894267e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
nonunit_costs,mux_01,multiplexer,6939,adaptive,4,0|1|2|3,1|2|3|4,,0.0,0,3.5,4,2.0,2.4245999156846665e-05,"{""cache_hits"": 8, ""query_candidates"": 12, ""states"": 17, ""terminal_evaluations"": 17}"
nonunit_costs,mux_01,multiplexer,6939,open_loop,4,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.8515000192564912e-05,"{""subsets_evaluated"": 7, ""terminal_evaluations"": 17, ""tree_nodes"": 27}"
nonunit_costs,mux_01,multiplexer,6939,fixed_prefix,4,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,6.660999133600853e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
missing_sensor,mux_01,multiplexer,6939,adaptive,4,1|2|3,1|1|1|1,0,0.25,4,1.0,1,1.0,3.968499913753476e-05,"{""cache_hits"": 28, ""query_candidates"": 27, ""states"": 27, ""terminal_evaluations"": 27}"
