case,goal_id,method,budget,world,truth,guess,error,queried_bits,observations,total_cost
primary,mux_00,fixed_prefix,4,5,1,1,0,0|1|2|3,1|0|1|0,4
primary,mux_00,fixed_prefix,4,6,1,1,0,0|1|2|3,0|1|1|0,4
primary,mux_00,fixed_prefix,4,7,1,1,0,0|1|2|3,1|1|1|0,4
primary,mux_00,fixed_prefix,4,8,0,0,0,0|1|2|3,0|0|0|1,4
primary,mux_00,fixed_prefix,4,9,0,0,0,0|1|2|3,1|0|0|1,4
primary,mux_00,fixed_prefix,4,10,1,1,0,0|1|2|3,0|1|0|1,4
primary,mux_00,fixed_prefix,4,11,0,0,0,0|1|2|3,1|1|0|1,4
primary,mux_00,fixed_prefix,4,12,0,0,0,0|1|2|3,0|0|1|1,4
primary,mux_00,fixed_prefix,4,13,1,1,0,0|1|2|3,1|0|1|1,4
primary,mux_00,fixed_prefix,4,14,1,1,0,0|1|2|3,0|1|1|1,4
primary,mux_00,fixed_prefix,4,15,1,1,0,0|1|2|3,1|1|1|1,4
nonunit_costs,mux_00,adaptive,0,0,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,1,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,2,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,3,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,4,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,5,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,6,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,7,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,8,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,9,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,10,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,11,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,12,0,0,0,,,0
nonunit_costs,mux_00,adaptive,0,13,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,14,1,0,1,,,0
nonunit_costs,mux_00,adaptive,0,15,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,0,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,1,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,2,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,3,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,4,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,5,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,6,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,7,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,8,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,9,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,10,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,11,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,12,0,0,0,,,0
nonunit_costs,mux_00,open_loop,0,13,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,14,1,0,1,,,0
nonunit_costs,mux_00,open_loop,0,15,1,0,1,,,0
nonunit_costs,mux_00,fixed_prefix,0,0,0,0,0,,,0
