case,seed,gap,sigma,method,status,seconds,dependence,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,actual_x_layer_correlation,cov_u_layer,ols_slope,label_ols_slope,noise_ols_slope,ols_predicted_slope,ols_identity_error,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
s9161101_g2_n2_l0,9161101,2.0,2.0,constant_free,OK,1.0682976909956778,0.0,0.1049071522448637,1.1070433315251411,0.6926324270536768,0.8304388134429672,0.703125,2,0.14431611679495976,0.1653736289277211,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.11808318046167385, 0.07890598891988042]","[-0.004574020286768968, -0.010132478786131733]","[-0.10893513988813594, 0.09917094649214393]","[-0.11808318046167388, 0.07890598891988046]",4.163336342344337e-17,0.4140625,0.2265625,0.3203125,1.9341786997157409,1.9341706430833607,0.6950954702103443,-0.0001373196709709341,0.06582130028425914,0.6949581505393735,1.3050418494606264,0.6525209247303132,1.1102230246251565e-16,0.3203125,1.9340413800447698,0.015309268987830166,1.1983041948421642,0.011931474044288843,1.2255449378742833,5.204170427930421e-18
s9161101_g2_n2_l0,9161101,2.0,2.0,constant_oracle_slope,OK,0.7966945500011207,0.0,0.06144111069534328,1.1085488400109287,0.6672567887922571,0.7776559923659145,0.7044270833333334,2,0.0,0.0,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.11808318046167385, 0.07890598891988042]","[-0.004574020286768968, -0.010132478786131733]","[-0.10893513988813594, 0.09917094649214393]","[-0.11808318046167388, 0.07890598891988046]",4.163336342344337e-17,0.3984375,0.2421875,0.3203125,1.9385517939575296,1.9385517939575296,0.6966670509534872,0.0,0.061448206042470366,0.696667050953487,1.303332949046513,0.6516664745232565,2.220446049250313e-16,0.3203125,1.9385517939575299,0.004152113302772628,1.203728948219486,0.02099946916731681,1.2288805306895754,4.5102810375396984e-17
s9161101_g2_n2_l0,9161101,2.0,2.0,spatial_free,OK,0.10883934099547332,0.0,0.9218521674422723,1.0045284984556306,1.0000394816130664,1.024103459689839,0.4921875,1,0.14202039499793162,0.1627429470986567,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.11808318046167385, 0.07890598891988042]","[-0.004574020286768968, -0.010132478786131733]","[-0.10893513988813594, 0.09917094649214393]","[-0.11808318046167388, 0.07890598891988046]",4.163336342344337e-17,,,,0.0,0.0,0.0,-7.89632261330765e-05,2.0,-7.896322613287765e-05,2.000078963226133,1.0000394816130664,1.9884267843384151e-16,0.5078125,-7.89632261330997e-05,1.0090775042095241,8.52539522666685e-33,-7.400950799530518e-18,1.0090775042095241,7.400950799530508e-18
s9161101_g2_n2_l0,9161101,2.0,2.0,spatial_oracle_slope,OK,0.09299750099307857,0.0,0.9759360219232268,1.0002894956165838,1.0,1.024063978076773,0.5,1,0.0,0.0,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.11808318046167385, 0.07890598891988042]","[-0.004574020286768968, -0.010132478786131733]","[-0.10893513988813594, 0.09917094649214393]","[-0.11808318046167388, 0.07890598891988046]",4.163336342344337e-17,,,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.5,0.0,1.0005790750408794,0.0,0.0,1.0005790750408794,0.0
s9161101_g2_n2_l0.5,9161101,2.0,2.0,constant_free,OK,1.0867601579957409,0.5,0.6412097081150528,0.8821640677383134,0.8021384015500508,0.8262023796268235,0.7408854166666666,1,0.6224783333384581,0.7132707779430006,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6012044548955353, 0.16134583629454724]","[0.3550697973918354, 0.031087444901201577]","[-0.10893513988813594, 0.09917094649214393]","[0.6012044548955349, 0.16134583629454707]",4.440892098500626e-16,,,,0.0,0.0,0.0,0.3957231968998985,2.0,0.39572319689989854,1.6042768031001016,0.8021384015500508,5.551115123125783e-17,0.2591145833333333,0.39572319689989843,0.7782134424086076,9.908667387546593e-33,-6.157973211250129e-18,0.7782134424086076,6.157973211250119e-18
s9161101_g2_n2_l0.5,9161101,2.0,2.0,constant_oracle_slope,OK,0.7917511099949479,0.5,0.331540104949091,1.1195023001001734,0.8740489681467275,1.2525386809563204,0.6393229166666666,2,0.0,0.0,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6012044548955353, 0.16134583629454724]","[0.3550697973918354, 0.031087444901201577]","[-0.10893513988813594, 0.09917094649214393]","[0.6012044548955349, 0.16134583629454707]",4.440892098500626e-16,0.6822916666666666,0.08333333333333333,0.3828125,2.0225921389109165,2.0225921389109165,0.47404503255724617,0.0,0.022592138910916493,0.47404503255724584,1.5259549674427542,0.7629774837213771,3.3306690738754696e-16,0.3828125,2.0225921389109165,0.11457853720997603,1.566039602022091,-0.4273327393024882,1.2532853999295785,3.885780586188048e-16
s9161101_g2_n2_l0.5,9161101,2.0,2.0,spatial_free,OK,0.10518658599903574,0.5,0.6412097081150528,0.8821640677383134,0.8021384015500508,0.8262023796268235,0.7408854166666666,1,0.6224783333384581,0.7132707779430006,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6012044548955353, 0.16134583629454724]","[0.3550697973918354, 0.031087444901201577]","[-0.10893513988813594, 0.09917094649214393]","[0.6012044548955349, 0.16134583629454707]",4.440892098500626e-16,,,,0.0,0.0,0.0,0.3957231968998985,2.0,0.39572319689989854,1.6042768031001016,0.8021384015500508,5.551115123125783e-17,0.2591145833333333,0.39572319689989843,0.7782134424086076,9.908667387546593e-33,-6.157973211250129e-18,0.7782134424086076,6.157973211250119e-18
s9161101_g2_n2_l0.5,9161101,2.0,2.0,spatial_oracle_slope,OK,0.08812961499643279,0.5,0.9759360219232268,1.0002894956165838,1.0,1.024063978076773,0.5,1,0.0,0.0,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6012044548955353, 0.16134583629454724]","[0.3550697973918354, 0.031087444901201577]","[-0.10893513988813594, 0.09917094649214393]","[0.6012044548955349, 0.16134583629454707]",4.440892098500626e-16,,,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.5,0.0,1.0005790750408794,0.0,0.0,1.0005790750408794,0.0
s9161101_g2_n2_l1,9161101,2.0,2.0,constant_free,OK,1.1739718309981981,1.0,0.42527521516468814,0.5239908433036301,0.4313296672567693,0.4639103755777206,0.9596354166666666,1,1.1663871583497654,1.3363388596362602,,0.8571032751955485,"[0.2892498059418501, 0.0023600581605018067]","[1.160940523842211, 0.1125882021537492]","[0.6349378318651736, 0.006708627830802838]","[-0.10893513988813594, 0.09917094649214393]","[1.1609405238422112, 0.11258820215374961]",4.0245584642661925e-16,,,,0.0,0.0,0.0,1.3442701437466342,2.0,1.344270143746634,0.655729856253366,0.327864928126683,2.220446049250313e-16,0.04036458333333333,1.3442701437466338,0.2745664038660494,1.7786737459613476e-32,-3.03864627564312e-18,0.2745664038660494,3.0386462756431023e-18
s9161101_g2_n2_l1,9161101,2.0,2.0,constant_oracle_slope,OK,0.8164817390061216,1.0,0.36871502948129103,1.0907838340528568,0.8768254935642168,1.2499915776000667,0.6315104166666666,2,0.0,0.0,,0.8571032751955485,"[0.2892498059418501, 0.0023600581605018067]","[1.160940523842211, 0.1125882021537492]","[0.6349378318651736, 0.006708627830802838]","[-0.10893513988813594, 0.09917094649214393]","[1.1609405238422112, 0.11258820215374961]",4.0245584642661925e-16,0.7239583333333334,0.0625,0.3932291666666667,1.9068623917542156,1.9068623917542156,0.4071945732391814,0.0,0.09313760824578443,0.4071945732391815,1.5928054267608185,0.7964027133804092,1.1102230246251565e-16,0.3932291666666667,1.9068623917542153,0.1163529745157661,1.4298300816252023,-0.3563736835099185,1.1898093726310501,2.220446049250313e-16
